1.4.1p5 Net Enrolment Rate in elementary (Indicator is also found in SDG 4.3.s1) 1/ ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Year,2000,2001,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022
Geolocation,Sex,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,Both Sexes,96.77,90.1,90.29,88.74,87.11,84.44,83.22,84.93,85.11,89.48,95.92,98.04,97.29,97.2,97.19,96.9,96.15,94.19,94.05,93.96,89.1064,...,...
,Boys,96.27,89.33,89.51,87.84,86.17,83.56,82.39,84.07,84.55,88.26,94.46,96.84,96.53,96.74,96.87,96.66,96.17,94.12,94.25,93.79,88.9318,...,...
,Girls,97.28,90.91,91.1,89.68,88.08,85.35,84.08,85.83,85.7,90.77,97.47,99.33,98.11,97.68,97.53,97.15,96.12,94.27,93.85,94.15,89.2898,...,...
..National Capital Region (NCR),Both Sexes,101,97.82,97.38,96.81,94.82,92.61,92.89,94.42,93.69,90.96,96.9,99.69,99.22,99.64,99.01,99.85,95.92,92.83,92.11,89.91,81.1478,...,...
,Boys,100.13,96.57,96.52,95.81,93.75,91.65,92.0,93.21,92.71,89.98,95.2,97.97,97.87,98.77,98.13,98.8,95.3,92.2,91.85,89.43,80.6316,...,...
,Girls,101.92,99.13,98.28,97.87,95.95,93.63,93.83,95.69,94.72,92.01,98.74,101.54,100.65,100.57,99.95,100.95,96.58,93.5,92.38,90.42,81.6903,...,...
..Cordillera Administrative Region (CAR),Both Sexes,94.42,92.89,91.52,89.19,86.4,82.58,80.86,81.5,81.93,99.51,97.64,100.8,100.0,99.66,100.16,99.19,97.24,94.37,92.24,91.4,87.5276,...,...
,Boys,94.26,91.96,90.53,88.36,85.52,81.75,80.19,81.01,81.69,98.84,96.73,99.96,99.56,99.85,100.27,99.42,97.94,95.13,93.45,92.25,88.5518,...,...
