1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022
Level of Education,Geolocation,Sex,,,,,,,,,,,,,,,,,,,,,,,
Junior High School,PHILIPPINES,Both Sexes,66.06,57.55,59,60.15,59.97,58.54,58.59,60.21,60.74,59.89,64.3,65.14,66.17,67.89,67.19,73.57,74.19,75.99,81.41,82.89,81.4869,...,...
,,Boys,62.72,52.96,54.39,55.34,55.04,53.65,53.85,55.65,56.39,55.16,59.11,59.82,60.74,62.42,61.68,68.09,68.79,70.88,77.24,78.8,77.6557,...,...
,,Girls,69.49,62.24,63.72,65.07,65.01,63.53,63.44,64.87,65.18,64.82,69.76,70.75,71.92,73.69,73.05,79.42,79.94,81.42,85.82,87.2,85.5003,...,...
,..National Capital Region (NCR),Both Sexes,79.05,67.84,75.28,76.42,76.4,74.99,75.12,80.16,80.79,76.69,79.57,79.79,81.02,81.64,78.93,84.1,83.37,84.76,88.74,89.68,85.1646,...,...
,,Boys,78.57,61.7,72.57,74.02,73.67,72.65,72.89,78.1,79.4,73.69,76.04,76.27,77.04,77.91,74.61,79.52,78.7,80.22,85.04,86.06,81.5199,...,...
,,Girls,79.5,73.86,77.94,78.77,79.06,77.28,77.3,82.18,82.15,79.74,83.2,83.41,85.14,85.54,83.49,88.99,88.33,89.56,92.64,93.47,88.9647,...,...
,..Cordillera Administrative Region (CAR),Both Sexes,71.19,59.84,59.64,61.76,60.71,57.81,59.1,57.04,57.14,64.76,63.7,68.27,70.43,71.87,72.5,77.08,78.72,79.77,83.64,84.76,84.9372,...,...
,,Boys,66.14,54.08,52.05,55.02,53.87,50.96,52.74,50.71,51.74,58,57.03,61.47,63.61,65.3,65.74,70.56,72.37,74.31,79.4,80.81,81.866,...,...
,,Girls,76.37,65.8,67.49,68.74,67.77,64.89,65.67,63.57,62.71,71.8,70.68,75.39,77.62,78.84,79.73,84.08,85.5,85.57,88.13,88.9,88.1383,...,...
,..Region I,Both Sexes,87.51,68.21,68.33,68.05,66.96,65.83,68.19,67.62,68.22,71.77,76.4,76.19,77.67,79.89,79.24,84.02,84.85,85.56,87.81,89.85,90.1031,...,...
,,Boys,85.07,64.83,64.91,64.39,62.8,62.16,64.43,64.5,65.24,67.95,71.91,71.8,73.18,75.61,74.87,80.05,80.86,81.77,85.14,87.06,87.9661,...,...
,,Girls,90.05,71.73,71.88,71.86,71.29,69.64,72.1,70.85,71.32,75.8,81.19,80.92,82.5,84.51,83.98,88.34,89.18,89.64,90.68,92.83,92.3834,...,...
,..Region II,Both Sexes,77.11,59.67,59.54,61.65,60.64,59.02,58.85,59.47,58.34,66.95,69.61,70.5,71.31,72.9,72.44,77.58,78.97,80.89,84.76,88.81,93.4367,...,...
,,Boys,73.31,54.5,54.37,56.2,54.86,53.38,53.55,54.63,53.56,61.41,64.07,64.89,65.56,67.49,66.87,72.12,73.82,75.91,80.78,84.75,90.0406,...,...
,,Girls,81.11,65.09,64.97,67.36,66.71,64.95,64.42,64.55,63.36,72.81,75.51,76.51,77.5,78.74,78.46,83.5,84.53,86.24,89.01,93.13,97.0227,...,...
,..Region III,Both Sexes,74.32,66.82,67.74,69.35,69.81,68.93,69.13,70.78,71.24,68.41,74.4,74.59,75.34,77.86,77.54,81.71,82.78,82.84,85.01,87.69,86.0948,...,...
,,Boys,72.13,62.76,63.59,65.18,65.45,64.77,65.4,67.21,67.95,64.64,70.1,70.17,70.81,73.38,72.97,77.36,78.39,78.54,81.44,84.04,82.4587,...,...
,,Girls,76.58,71.02,72.04,73.65,74.31,73.22,72.99,74.48,74.63,72.39,78.97,79.3,80.19,82.67,82.48,86.42,87.52,87.46,88.83,91.57,89.9462,...,...
,..Region IV-A 3/,Both Sexes,71.03,66.24,68.16,70.19,70.94,69.1,71.26,73.86,74.89,67.03,70.28,72.46,73.74,74.64,74.23,80.25,81.41,82.51,86.38,87.85,84.4897,...,...
,,Boys,67.88,62.13,64.36,66.08,66.65,64.77,67,69.59,70.74,63.01,65.98,68.29,69.34,69.87,69.37,75.58,76.69,78.09,83.01,84.29,80.833,...,...
,,Girls,74.24,70.46,72.05,74.38,75.33,73.53,75.61,78.22,79.14,71.2,74.8,76.85,78.39,79.69,79.42,85.25,86.46,87.21,89.97,91.62,88.3569,...,...
,..MIMAROPA 3/,Both Sexes,..,..,57.55,58.43,57.8,56.08,58.86,59.28,59.67,56.29,59.95,61.63,63.5,64.93,65.57,73.28,73.48,75.71,79.74,81.12,80.7633,...,...
