"16.1.1 Number of victims of intentional homicide (per 100,000 population) 1/",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022
Geolocation,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.110578624076755,8.648427179503965,6.502754758679433,5.660457375767967,4.753062410982358,4.3966054249628135,...
..National Capital Region (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.739571458483585,11.632285585803938,5.448314928360605,4.620971420612041,4.766507763757387,3.551425464135866,...
..Cordillera Administrative Region (CAR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.348514988099208,3.413518786016179,3.999526816545648,4.799425854730308,3.595653794963651,2.6882915029689163,...
..Region I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.031909008814495,6.278587559583212,4.441517763174411,3.5401278273183054,2.921753727654987,2.7855032623324862,...
..Region II,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.188066847909155,7.40593543324581,5.838453619911082,4.613656035090307,3.198695588342641,2.761485614284353,...
..Region III,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.704967247047023,6.153771259008462,3.7257216251816394,3.5025419037009144,2.444428238489788,2.5172115337513716,...
..Region IV-A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.043512933323909,9.08832680323905,6.336361296856646,5.265941813058049,3.9919540640054096,4.1317497648539305,...
..MIMAROPA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.2843871302508285,5.309139388505123,5.203019561091367,4.114172431026218,3.7796954132451237,3.3621701687716032,...
..Region V,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.064076160340429,6.972841791777807,6.793264478269795,4.941201350990332,4.499631225875619,3.665473692233265,...
..Region VI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.121843574618853,6.229894284286593,5.757417214909315,5.462051947432089,5.46496546002675,4.8428270517308025,...
..Region VII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.490490330576916,8.150959972103275,9.167184526515564,7.830797725274223,5.8690121937211375,5.052905283973277,...
..Region VIII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.364791736636425,8.096341638409923,6.819387757532014,6.772489847140418,6.136215119254495,5.474870034287675,...
..Region IX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.90021440701489,9.774744929249529,9.101770683706757,7.671025922474161,5.895164933761346,6.194973671361897,...
..Region X,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.149133887043956,9.138650107405043,7.460380270911957,7.203013401841994,5.0428030330965345,5.616247152710489,...
..Region XI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.18579032556791,14.658054333445778,10.58615315570691,8.867424517968148,6.860876729323671,6.627874980404949,...
..Region XII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.08736590493906,7.785532820807028,5.609723576684398,5.2573753244367545,3.8008624502432555,4.031386247316922,...
..Caraga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.137067643618952,12.59286770045966,10.623787179540518,8.373080985320668,8.027288421925903,7.799532603124558,...
..BARMM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.130509075450632,11.289118129179549,9.26620845431921,9.102096483686871,9.585697088147297,8.734968185278746,...
,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,
"1/ - Special computation made by the Philippine Statistics Authority (PSA) Technical Staff using data from Crime Information Reporting and Analysis System (CIRAS), Philippine National Police (PNP) and 2015 based population projection, PSA",,,,,,,,,,,,,,,,,,,,,,,
