3.7.1 Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied [provided] with modern methods,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Year,,2000,2001,2002,2003.0,2004,2005,2006,2007,2008.0,2009,2010,2011,2012,2013.0,2014,2015,2016,2017.0,2018,2019,2020,2021,2022
Indicator/Sub-indicators,Geolocation,,,,,,,,,,,,,,,,,,,,,,,
3.7.1 Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied [provided] with modern methods 1/,PHILIPPINES,..,..,..,46.7,..,..,..,..,46.8,..,..,..,..,51.8,..,..,..,56.9,..,..,..,..,...
,..National Capital Region (NCR),..,..,..,47.2,..,..,..,..,43.2,..,..,..,..,53.4,..,..,..,59.5,..,..,..,..,...
,..Cordillera Administrative Region (CAR),..,..,..,44.4,..,..,..,..,55.0,..,..,..,..,59.8,..,..,..,66.7,..,..,..,..,...
,..Region I,..,..,..,49.6,..,..,..,..,49.7,..,..,..,..,50.8,..,..,..,59.5,..,..,..,..,...
,..Region II,..,..,..,68.8,..,..,..,..,62.6,..,..,..,..,69.1,..,..,..,74.1,..,..,..,..,...
,..Region III,..,..,..,54.2,..,..,..,..,54.0,..,..,..,..,60.4,..,..,..,56.8,..,..,..,..,...
,..Region IV-A,..,..,..,46.1,..,..,..,..,46.1,..,..,..,..,49.1,..,..,..,49.2,..,..,..,..,...
,..MIMAROPA,..,..,..,48.5,..,..,..,..,48.5,..,..,..,..,55.1,..,..,..,61.7,..,..,..,..,...
,..Region V,..,..,..,30.6,..,..,..,..,33.8,..,..,..,..,29.3,..,..,..,44.4,..,..,..,..,...
,..Region VI,..,..,..,42.3,..,..,..,..,44.4,..,..,..,..,45.5,..,..,..,56.8,..,..,..,..,...
,..Region VII,..,..,..,47.1,..,..,..,..,46.0,..,..,..,..,46.0,..,..,..,51.2,..,..,..,..,...
,..Region VIII,..,..,..,35.8,..,..,..,..,37.5,..,..,..,..,50.2,..,..,..,54.6,..,..,..,..,...
,..Region IX,..,..,..,46.9,..,..,..,..,40.3,..,..,..,..,53.0,..,..,..,56.8,..,..,..,..,...
,..Region X,..,..,..,45.9,..,..,..,..,54.2,..,..,..,..,53.0,..,..,..,63.0,..,..,..,..,...
,..Region XI,..,..,..,53.6,..,..,..,..,59.5,..,..,..,..,55.1,..,..,..,64.7,..,..,..,..,...
,..Region XII,..,..,..,51.6,..,..,..,..,53.8,..,..,..,..,60.5,..,..,..,66.6,..,..,..,..,...
,..Caraga,..,..,..,43.7,..,..,..,..,47.6,..,..,..,..,57.5,..,..,..,64.5,..,..,..,..,...
,..BBARMM,..,..,..,23.1,..,..,..,..,21.2,..,..,..,..,29.7,..,..,..,42.5,..,..,..,..,...
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,,
