"3.7.2 Adolescent birth rate aged 15-19 years per 1,000 women in that age group ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001,2002,2003.0,2004,2005,2006,2007,2008.0,2009,2010,2011,2012,2013.0,2014,2015,2016,2017.0,2018,2019,2020,2021,2022
Geolocation,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,..,..,..,53.0,..,..,..,..,54.0,..,..,..,..,57.0,..,..,..,47.0,..,..,..,..,...
..National Capital Region (NCR),..,..,..,35.0,..,..,..,..,25.0,..,..,..,..,48.0,..,..,..,27.0,..,..,..,..,...
..Cordillera Administrative Region (CAR),..,..,..,52.0,..,..,..,..,34.0,..,..,..,..,53.0,..,..,..,25.0,..,..,..,..,...
..Region I,..,..,..,55.0,..,..,..,..,52.0,..,..,..,..,78.0,..,..,..,46.0,..,..,..,..,...
..Region II,..,..,..,85.0,..,..,..,..,54.0,..,..,..,..,65.0,..,..,..,51.0,..,..,..,..,...
..Region III,..,..,..,42.0,..,..,..,..,69.0,..,..,..,..,63.0,..,..,..,61.0,..,..,..,..,...
..Region IV-A,..,..,..,44.0,..,..,..,..,63.0,..,..,..,..,58.0,..,..,..,37.0,..,..,..,..,...
..MIMAROPA,..,..,..,108.0,..,..,..,..,87.0,..,..,..,..,68.0,..,..,..,47.0,..,..,..,..,...
..Region V,..,..,..,60.0,..,..,..,..,63.0,..,..,..,..,59.0,..,..,..,36.0,..,..,..,..,...
..Region VI,..,..,..,57.0,..,..,..,..,41.0,..,..,..,..,58.0,..,..,..,38.0,..,..,..,..,...
..Region VII,..,..,..,45.0,..,..,..,..,58.0,..,..,..,..,49.0,..,..,..,47.0,..,..,..,..,...
..Region VIII,..,..,..,48.0,..,..,..,..,60.0,..,..,..,..,50.0,..,..,..,50.0,..,..,..,..,...
..Region IX,..,..,..,82.0,..,..,..,..,62.0,..,..,..,..,43.0,..,..,..,54.0,..,..,..,..,...
..Region X,..,..,..,56.0,..,..,..,..,43.0,..,..,..,..,62.0,..,..,..,81.0,..,..,..,..,...
..Region XI,..,..,..,42.0,..,..,..,..,68.0,..,..,..,..,54.0,..,..,..,87.0,..,..,..,..,...
..Region XII,..,..,..,90.0,..,..,..,..,64.0,..,..,..,..,58.0,..,..,..,91.0,..,..,..,..,...
..Caraga,..,..,..,85.0,..,..,..,..,83.0,..,..,..,..,87.0,..,..,..,61.0,..,..,..,..,...
..BBARMM,..,..,..,51.0,..,..,..,..,71.0,..,..,..,..,56.0,..,..,..,47.0,..,..,..,..,...
,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,
