4.c.s2 Number of Technical-Vocational Education and Training (TVET) trainers trained,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022
Geolocation,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6518.0,11159.0,10118.0,10855.0,4023.0,7746.0,...
..National Capital Region (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,610.0,1028.0,1280.0,1409.0,782.0,1985.0,...
..Cordillera Administrative Region (CAR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,201.0,302.0,166.0,260.0,92.0,199.0,...
..Region I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,474.0,455.0,475.0,501.0,375.0,327.0,...
..Region II,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,270.0,612.0,447.0,686.0,215.0,240.0,...
..Region III,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,280.0,262.0,354.0,839.0,277.0,471.0,...
..Region IV-A,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,833.0,1067.0,1440.0,817.0,177.0,647.0,...
..MIMAROPA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,139.0,523.0,709.0,413.0,162.0,255.0,...
..Region V,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,467.0,940.0,543.0,571.0,292.0,339.0,...
..Region VI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,357.0,997.0,598.0,317.0,111.0,426.0,...
..Region VII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,441.0,965.0,667.0,769.0,267.0,532.0,...
..Region VIII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,708.0,1307.0,500.0,429.0,227.0,416.0,...
..Region IX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,356.0,690.0,426.0,557.0,148.0,446.0,...
..Region X,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,585.0,607.0,658.0,905.0,224.0,378.0,...
..Region XI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,294.0,356.0,714.0,910.0,332.0,543.0,...
..Region XII,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,216.0,596.0,493.0,338.0,144.0,153.0,...
..Caraga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.0,107.0,165.0,1034.0,64.0,149.0,...
..BARMM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,220.0,345.0,483.0,100.0,134.0,240.0,...
,,,,,,,,,,,,,,,,,,,,,,,
Note: ,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,
