8.1.1 Annual growth rate of real GDP per capita,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Year,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022
Geolocation,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,..,1.0079144176033026,1.691457854710876,3.0645259992739398,4.541527176741056,2.9785515939991143,3.3720890755379855,4.57888445644312,2.463484297148355,-0.35202728591133337,5.453808141858346,2.061136379092005,5.065050214902072,4.948184649854653,4.573826691397272,4.59496997508937,5.376185225284118,5.248499883550579,4.746743081880211,4.602267657508463,-10.806601909378458,4.2,...
..National Capital Region (NCR),..,0.8411278169115946,-0.9161951859142619,2.7568151477928637,6.355850767629391,3.310895022436384,3.8099508528209185,4.989651882035574,2.771026072994303,-1.7184124438690844,4.58724612183083,0.7056681457364107,4.555136363206344,4.912505744314771,3.8421722901625515,4.685638782653996,5.511499901063274,4.0142930297974715,4.087414314331639,5.634448060763347,-11.200475647115397,...,...
..Cordillera Administrative Region (CAR),..,1.9008376014278525,2.6040397858516684,3.2685344903706124,3.4879768619455263,0.056739697327444105,2.068304836073878,5.577004787071061,2.1033717636687044,0.7371908800771365,4.611006446855598,-0.8184313880145595,-1.0107739804595042,5.4538426213580635,3.9192639776850484,3.104854953785093,1.624092370534342,8.263995581124206,4.611165931726461,3.3937995673509533,-10.6822300602702,...,...
..Region I,..,0.8115887464970655,1.7048835749692302,3.183009525362081,3.8896628892332927,3.3625987915048228,4.594092497093172,4.671400811903553,1.7745232099705532,-1.2635600338729773,7.426453497815501,2.7602023741366395,4.1290496983720715,7.3823968611186785,5.465228303762302,4.289071541136906,6.91962854897082,4.49728745087539,4.914166629235339,6.305167849348138,-8.477175571996838,...,...
..Region II,..,2.1479534913057847,0.08925153103689354,1.1328124863788815,7.426633218736271,-3.2389556993871054,8.370661785283744,5.103214067393765,1.0836385927144079,0.8358897470857727,2.7235107554281797,5.009277059783429,5.620296771017408,7.554133581939723,7.074621900477695,2.846141682562987,3.4680134719009175,6.478262651813864,3.3377751226958026,5.689419284241978,-10.815141416595267,...,...
..Region III,..,3.6001917056948542,3.3510124842543405,2.107589457658591,0.9627470829942695,1.7253195748094328,2.5389843449357983,3.720296230980935,3.0330297509385957,-1.3478828681357697,7.861806449711523,5.734126455339521,6.297385309930846,3.9672563080284107,5.702766972817528,4.082270509757507,5.682582243287797,8.215194066385024,4.902421012749386,4.003512626426513,-15.362292689036266,...,...
..Region IV-A,..,-1.68399788512221,1.5242211267325132,1.9483372440010953,2.276289065259121,2.1384326101953945,1.4909276365125237,2.5738832555453115,0.6843353527736156,-3.4784511913217386,7.279562477489492,-0.3462034812161221,5.153845507752749,4.635088156621862,3.1776546014259424,4.289997384455432,4.283137611591158,5.252561050280164,4.7774522638472945,2.4520458212251413,-12.21894889067751,...,...
..MIMAROPA,..,1.6640222746159736,12.48029067157539,7.750967760265809,1.8306382829376986,7.306973440180343,2.0909198730071097,7.619860406054471,3.2562046730027987,2.9029716037283606,-0.7606446985672193,2.300266510700183,3.8305726402703186,2.7225569310088247,8.496021495115528,3.3209294559321165,3.334895580526293,4.76664998852678,7.0526861230534905,2.957077423179186,-8.745932208811723,...,...
..Region V,..,1.5879193697141005,2.378082082721761,3.9513424757537905,3.9375215665899503,3.944177715157622,1.9132561445282477,5.84879068102228,3.6602037150875475,5.586480535080639,4.505054041060944,2.1163616986964513,8.635029965104835,8.73662622526885,4.624104629178973,9.244986189115593,5.7860550004586315,4.244207116787209,5.667793644779678,7.05668240078532,-9.336294580959333,...,...
..Region VI,..,0.8821413146258266,1.2637774514564484,4.390161714513113,6.157605783316782,3.638961485803847,4.102687650782812,5.338760742934085,3.4851046158167236,4.312947819300987,3.397629724928237,5.012606125834736,5.971523211840179,3.1729849963620467,4.138347267000427,6.424278176437184,4.808519586035402,7.1720186028756245,3.7778749973896595,5.279093236831315,-10.468294980402163,...,...
..Region VII,..,2.4306002644343323,0.09175915218506248,2.4717105766148677,4.914365278504434,5.183705440373743,2.866216678475709,6.306427290969864,3.373899714217089,1.3138918709686038,10.180463520665313,5.353704995510583,7.512821173550833,6.196494663133166,5.722350725832939,4.417575128919964,5.625069563063008,5.425207785712701,5.513396661881046,4.727351325261139,-11.080145311942118,...,...
..Region VIII,..,1.2407994528353044,1.703501265441318,4.3926693438148305,4.408115626213487,4.480726282199839,5.382048407335603,1.821488552952772,3.40742363268636,2.487710281903219,4.4831525896237565,1.1863179694060761,-3.949956055608297,4.435973145879203,-1.376379126439204,4.71256944529415,12.694223943211085,1.649893897671717,5.587705099640729,4.2172104460580755,-8.845496386015327,...,...
..Region IX,..,-0.27717330879154645,0.6556381100849791,2.2634177641671585,2.447019110001108,5.467405200963853,1.9831574834632733,5.81479850014675,1.3578605101900223,5.1517110490805464,1.8787926995154578,-1.190605513344991,9.794004471357411,3.993512336170582,6.158580819239006,7.974192111432359,4.087313565651371,2.201575393775073,5.447041970100486,3.767957904440067,-5.959314029976284,...,...
..Region X,..,4.4267109794820385,7.661506825756675,4.320206558093375,6.038860137285965,3.281551352598825,4.663455769090149,5.32962886093344,3.540598894554776,1.4414203375929304,4.32248497961551,4.141792672661012,5.523041169915885,4.177663836025729,6.803178171087708,4.1348505893797665,6.236030535286744,4.425701551381508,5.671174885653556,4.2811620531823,-6.32274577538287,...,...
..Region XI,..,0.40451868616247566,3.313226345051305,4.934068243413975,4.306681280959239,2.158022366361763,2.6781661767286096,4.16899742651546,1.9675460150471906,3.0199742670523193,4.696809340549095,2.0825574379776697,5.236435966192062,4.368361314252226,7.226857119365988,6.197743999558142,7.4520827220238886,7.052769635041884,5.490501473560471,5.4069549220390485,-9.046379023361382,...,...
..Region XII,..,-1.5454018863797216,7.457846651260553,3.9244741146200255,3.350673255897348,-0.21425301704485378,4.09643438012705,4.232484028420998,2.7278503327793544,-0.11452381565302971,1.4563465107246572,2.8838107506756927,5.970213505852399,7.0479526546707945,4.275849757719001,1.6905311859812144,2.622671086418208,6.045531295217543,5.236694968480293,1.9441456540660482,-5.555508858458907,...,...
..Caraga,..,3.153920360133398,4.190756101803103,3.1087996908246254,4.253532641672521,2.932371991801702,5.023460617428583,4.936549105559891,1.3560643277680242,0.5746731855805507,8.931179381321769,5.613559563605548,8.967250040076664,8.030594099555714,7.5562605944475365,5.351013984484609,4.814408537262224,4.750191961652888,3.918379024844711,4.2053773631326266,-8.23756351080685,...,...
..BARMM,..,-4.940170715737835,10.950593387532763,3.3082727600076964,6.299145532375277,3.5911653665353356,3.7592623536913976,2.9570051641038475,-0.5839999628623218,1.0382734235328712,6.379147571312259,0.15935460466383233,-0.2594037511477296,1.6059419700813038,3.2095735941620944,-2.003764526910828,1.3506760719276656,7.882984625553462,5.547680020299239,3.712420007435256,-3.8812515248824866,...,...
,,,,,,,,,,,,,,,,,,,,,,,
