"Changes in Inventories, by Region"

"Region";"At Current Prices 2000";"At Current Prices 2001";"At Current Prices 2002";"At Current Prices 2003";"At Current Prices 2004";"At Current Prices 2005";"At Current Prices 2006";"At Current Prices 2007";"At Current Prices 2008";"At Current Prices 2009";"At Current Prices 2010";"At Current Prices 2011";"At Current Prices 2012";"At Current Prices 2013";"At Current Prices 2014";"At Current Prices 2015";"At Current Prices 2016";"At Current Prices 2017";"At Current Prices 2018";"At Current Prices 2019";"At Current Prices 2020";"At Current Prices 2021"
"..National Capital Region (NCR)";2177317;32407610;47446140;38680890;90746761;-21121052;-62074630;-72647490;-16791691;-78327162;-8382259;37960386;-53978335;-25567519;-9498709;-78887754;-61168427;-3527878;-8952050;-170725161;-261889025;-73053461
"..Cordillera Administrative Region (CAR)";-6416286;-3465763;-854248;2816938;5942522;922235;1539829;2224400;1699529;4102771;10081530;20906816;268953;-2783987;-5031597;-1869509;2845014;-1400306;-12287003;-21374032;-9164951;-23580868
"..Region I (Ilocos Region)";-1891391;-415859;-2366347;1563172;11013024;2156933;-12615425;-7528468;-1384595;-2241727;17223201;22315022;-424963;-891655;2641538;20010380;161771;1990840;-344781;3195818;-12806475;-9173717
"..Region II (Cagayan Valley)";5458610;6710711;7073336;7434120;14501407;21591202;19634112;24258860;18866447;21317690;24698127;26715349;20349948;-3805473;3196568;-6693576;833107;-1813875;-1033799;4908941;-14374477;-27952163
"..Region III (Central Luzon)";-52958073;-26135881;-755268;-11413915;-18880906;-4770170;-23168248;-27299916;-1141473;-4638249;-25471626;9838677;15729819;14493604;-7236367;14886473;8706663;-2730350;5584131;-34811984;-162144251;-16635169
"..Region IV-A (CALABARZON)";-111297796;-28830457;-9172498;-5564609;-7379076;30758718;-40148922;-56711613;-51903824;-70383785;-74356788;-65654452;-58510828;-11077119;7465112;-89593345;-7623979;4054462;8412077;98541144;-152583773;-15075549
"..MIMAROPA Region";2369275;2492120;1885432;1015582;-2997026;1792345;-6738316;-15985915;1808683;-4735049;-5964736;5318716;512923;-6946834;580986;-5855580;-10614285;-5470926;813229;14079039;-17843634;752871
"..Region V (Bicol Region)";5267903;6003300;6176622;133123;2225757;3413493;1929194;350885;5154369;3798417;13023064;8723895;7479267;8305364;9615771;-4034708;8943283;2236237;-487965;-1902098;-6441298;-19629124
"..Region VI (Western Visayas)";12238329;12193914;10581660;5708728;6233671;1445825;-6533844;5404782;15823095;6024890;11296248;21788503;3128975;4547658;-7722981;-15516499;3271575;-2277977;-3692731;3767878;5302810;-12227335
"..Region VII (Central Visayas)";14163801;23634467;15639464;15346129;14804151;2064083;-22029093;-27281777;-23683350;-14827586;3078295;9876532;-24630912;-15927072;1646648;17167841;3895526;-1260411;-2452424;1950007;-7527662;15804194
"..Region VIII (Eastern Visayas)";-10840620;-832765;-544446;-15430382;-19334525;-13005839;-14453592;-24688486;3012086;9742439;4583287;22366355;-10166759;1207249;2233166;16425053;-6192257;-7210397;-9594820;7516530;3934068;-21651969
"..Region IX (Zamboanga Peninsula)";2648445;4412723;2291752;-237244;4012508;4543260;6236741;7176296;15287172;23828928;16848217;15780164;26708235;14734303;6208706;11937143;-6384262;1193982;-1414695;-3490358;-3551724;5772425
"..Region X (Northern Mindanao)";1986329;2205454;7214546;6801237;14742998;13843338;13399986;13825301;18543621;7506651;10258443;8443267;635725;-652105;-2773093;2077925;7337077;2757062;1532626;10024531;-22026289;-1655432
"..Region XI (Davao Region)";17223629;12619403;18921653;13737486;10215524;-8433806;-17199083;-7510156;11999027;11299702;28070422;38166974;29776593;7132362;-1121475;5651865;12028030;1444163;-205906;-28611108;-2442350;-4048336
"..Region XII (SOCCSKSARGEN)";-8120781;-7847249;-2370092;-7479618;-3010553;-3658552;-7410550;-2902424;2443724;-5144357;-9587180;-1487405;-15461679;1452127;3036139;-2483260;-10154873;218198;-1259801;-8912174;-9298649;-5780014
"..Region XIII (Caraga)";-12147353;-8993970;-12743708;-11767663;-12195146;-12928080;-10577337;2066721;1206760;5586101;-3984307;6678630;23256019;-813155;4461069;-2583334;-1508303;-5406063;-1475698;-24356137;-5423030;-1896392
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";3292879;-1507265;2709746;-1143417;4554275;1959079;2060334;-11232638;-11874312;-13433247;-9557387;-9178363;-6901624;-1626148;-837931;-6063739;-2641420;1731693;-84176;1672864;-17183612;-6408285
"Philippines";-136845782;24650494;91133746;40200557;115195365;20573012;-178148844;-198481639;-10934733;-100523573;1856549;178559066;-42228645;-18218400;6863551;-125424625;-58265758;-15471546;-26943785;-148526300;-695464321;-216438323
