"Government Final Consumption Expenditure, by Region, Percent Share"

"Region";"At Current Prices 2000";"At Current Prices 2001";"At Current Prices 2002";"At Current Prices 2003";"At Current Prices 2004";"At Current Prices 2005";"At Current Prices 2006";"At Current Prices 2007";"At Current Prices 2008";"At Current Prices 2009";"At Current Prices 2010";"At Current Prices 2011";"At Current Prices 2012";"At Current Prices 2013";"At Current Prices 2014";"At Current Prices 2015";"At Current Prices 2016";"At Current Prices 2017";"At Current Prices 2018";"At Current Prices 2019";"At Current Prices 2020";"At Current Prices 2021"
"..National Capital Region (NCR)";45.9;47.0;44.8;44.7;45.1;44.3;42.7;42.9;43.9;44.1;43.7;42.1;41.7;42.1;41.5;40.6;40.2;39.8;39.8;40.0;40.4;40.6
"..Cordillera Administrative Region (CAR)";2.7;2.7;2.7;2.6;2.5;2.6;2.4;2.3;2.2;2.1;2.1;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.9;1.9;1.8;1.8
"..Region I (Ilocos Region)";4.0;3.8;3.9;4.0;3.9;4.0;4.6;4.2;4.0;3.6;3.7;3.7;3.7;3.6;3.9;4.0;4.2;4.2;4.2;4.1;4.0;3.9
"..Region II (Cagayan Valley)";2.4;2.4;2.6;2.6;2.7;2.6;2.7;2.7;2.6;2.5;2.5;2.5;2.3;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.1;2.2
"..Region III (Central Luzon)";4.3;4.1;4.8;4.9;5.7;5.5;5.8;6.3;6.4;6.7;6.7;6.7;6.8;7.0;7.0;7.0;7.0;7.1;7.1;7.1;7.0;7.1
"..Region IV-A (CALABARZON)";4.4;4.5;5.0;5.0;5.1;5.6;5.7;7.0;6.6;6.9;6.9;6.9;7.2;7.0;7.3;7.4;7.5;7.5;7.6;7.6;7.6;7.4
"..MIMAROPA Region";2.0;2.0;2.1;2.1;1.8;2.1;2.2;2.4;2.4;2.4;2.4;2.3;2.4;2.3;2.2;2.2;2.2;2.2;2.2;2.1;2.1;2.1
"..Region V (Bicol Region)";3.6;3.5;3.5;3.5;3.2;3.5;3.8;4.0;3.8;4.0;4.0;4.0;4.2;4.1;4.1;4.2;4.0;4.0;3.9;4.0;3.9;3.9
"..Region VI (Western Visayas)";5.0;5.1;5.1;5.0;4.8;4.8;5.1;4.7;4.4;4.6;4.6;4.6;4.7;4.4;4.3;4.5;4.6;4.6;4.8;4.8;4.7;4.6
"..Region VII (Central Visayas)";2.7;2.8;3.0;2.9;3.2;3.0;3.1;2.9;2.9;2.9;3.0;3.0;3.2;3.5;3.8;4.0;4.1;4.2;4.3;4.2;4.2;4.2
"..Region VIII (Eastern Visayas)";4.6;4.3;4.5;4.6;4.6;4.3;4.1;3.7;3.8;3.4;3.6;4.5;4.4;4.2;4.1;4.3;4.4;4.4;4.1;4.0;4.0;3.9
"..Region IX (Zamboanga Peninsula)";3.8;3.6;3.6;3.6;3.2;3.5;3.5;3.2;3.1;2.8;2.9;2.9;2.8;2.8;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.6
"..Region X (Northern Mindanao)";2.4;2.4;2.6;2.6;2.7;2.9;3.1;3.0;3.2;3.4;3.4;3.6;3.5;3.5;3.6;3.7;3.6;3.6;3.6;3.9;4.0;4.0
"..Region XI (Davao Region)";3.8;3.6;3.6;3.5;3.3;3.5;3.5;3.2;3.2;3.1;3.0;3.1;3.2;3.3;3.2;3.2;3.3;3.4;3.5;3.5;3.6;3.5
"..Region XII (SOCCSKSARGEN)";4.2;4.0;4.0;3.9;3.8;3.5;3.4;3.2;3.0;3.2;3.2;2.8;3.0;3.0;3.0;2.9;2.8;2.9;2.8;2.7;2.7;2.6
"..Region XIII (Caraga)";2.3;2.3;2.4;2.4;2.5;2.4;2.4;2.2;2.2;2.2;2.2;2.1;2.2;2.0;2.0;1.9;1.9;1.9;1.9;1.9;1.9;1.9
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";1.8;1.8;1.8;2.0;2.0;1.8;2.0;2.0;2.1;2.1;2.3;2.8;2.7;3.1;3.1;3.3;3.3;3.3;3.3;3.3;3.3;3.5
"Philippines";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
