"Gross Capital Formation, by Region"

"Region";"At Current Prices 2000";"At Current Prices 2001";"At Current Prices 2002";"At Current Prices 2003";"At Current Prices 2004";"At Current Prices 2005";"At Current Prices 2006";"At Current Prices 2007";"At Current Prices 2008";"At Current Prices 2009";"At Current Prices 2010";"At Current Prices 2011";"At Current Prices 2012";"At Current Prices 2013";"At Current Prices 2014";"At Current Prices 2015";"At Current Prices 2016";"At Current Prices 2017";"At Current Prices 2018";"At Current Prices 2019";"At Current Prices 2020";"At Current Prices 2021"
"..National Capital Region (NCR)";203930819;288023206;312792420;350366278;445396815;364638998;350945836;410794316;541772989;461856608;709295233;720272869;758973608;957586594;1055722012;1072923782;1268840988;1391592148;1640251453;1598461505;960095438;1283778216
"..Cordillera Administrative Region (CAR)";13865180;13448285;16806013;19788755;24257807;20432006;25385665;26901466;29704835;32099095;40460952;49944680;29548738;33081560;24485878;29049288;32105379;35881923;32266092;23666821;31273604;24347205
"..Region I (Ilocos Region)";24454284;26821755;29627138;32967294;45222018;39338515;32127165;41310895;50763801;55904854;78634006;84747579;68070088;75736595;88877912;113489548;131580148;163128777;193759545;228616710;172416085;199301927
"..Region II (Cagayan Valley)";32773347;34873457;37349804;40755790;51068600;58370199;68595346;71904291;73649021;75637222;81642816;80940288;79946525;62731146;75028145;77480450;95196604;113995195;134311405;146410694;95318052;93038750
"..Region III (Central Luzon)";8037710;35506256;63533211;64973784;68231368;92419886;84806309;92665051;138098487;152676627;160676585;216166904;244530920;274814176;273085629;351251636;421665953;513606387;590017254;610978504;283879955;478799528
"..Region IV-A (CALABARZON)";18214696;76941117;108934789;111408235;117422285;173261985;120393803;119653336;149756689;137230627;201552417;217059209;231742975;290367514;320280912;303867486;517220942;630500072;712401187;766853055;298782200;518586252
"..MIMAROPA Region";10234683;11200127;14899234;12029760;9464169;15527012;10027999;3017260;22411802;18093221;19103351;28886357;24934114;21427705;41529678;36665567;36490353;55532730;78995250;88406153;45361975;76249821
"..Region V (Bicol Region)";23129693;23889005;26003348;23452407;28387601;30110212;31513023;37647782;47880014;49960679;63983684;59544473;69740827;83011228;98493385;104978578;134334431;142545107;181534196;202053823;153689482;168273510
"..Region VI (Western Visayas)";46342201;44831024;46626457;45601881;48709503;44867130;52570827;61931227;73382845;65937469;78853405;93884238;95477787;101336678;77105459;95430431;119446427;132134843;155804331;176527730;133826656;132970199
"..Region VII (Central Visayas)";65471807;74574164;72065505;70933637;76422804;64122060;52741677;51229324;66644077;71085390;97617542;117435296;113821899;126595075;158426246;158168742;216329082;220634348;257710115;303559170;196171280;248790513
"..Region VIII (Eastern Visayas)";21092440;25191530;29938004;17339732;18965733;33122898;35549864;28872332;57762475;66895260;66576295;78986608;63244342;84580063;105230806;131806587;164434444;146448787;181598780;196623541;126141784;116479313
"..Region IX (Zamboanga Peninsula)";20574017;20350909;20478447;19815370;25632443;25807637;32077060;36393184;47934898;57791190;54249749;51040945;66283144;64719560;70096692;97615263;97392497;103191607;111476636;110388664;94073493;113775166
"..Region X (Northern Mindanao)";23598010;24298457;31421346;36803846;46562387;47028216;51278595;56935962;66116839;61730858;73568066;75523122;70513455;70333157;90824223;109130053;144180307;148099836;172667000;192933853;130909555;164566009
"..Region XI (Davao Region)";47552342;44208881;48321754;50647069;54960082;41714462;44995751;53906127;78610222;75252448;108400878;119476612;128999339;120503064;116373706;127020224;152803010;200147009;240582476;266581670;224410864;257595240
"..Region XII (SOCCSKSARGEN)";8175791;6512848;14099278;14305623;21311622;22874351;22344500;29560684;37747319;32340873;33894195;47361834;27822285;51909193;56883662;57452641;65126975;84449083;100721169;87197719;75773874;87077953
"..Region XIII (Caraga)";3517216;7578191;7031623;3017840;6226540;8967658;15474356;28536461;32838613;36471545;30642970;45391556;68619229;50823123;84487402;90681727;100128554;115687853;132342879;105200111;83625938;100730468
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";8973944;4180245;10158618;7121133;15457196;16030773;18243650;9719819;11818453;11630910;22262068;17333754;21262421;17953773;26461092;18803370;28089708;34101305;42665699;48609129;23815628;47527167
"Philippines";579938180;762429457;890086990;921328434;1103698971;1098633998;1049071426;1160979516;1526893379;1462594876;1921414212;2103996324;2163531693;2487510204;2763392839;2975815372;3725365802;4231677010;4959105466;5153068851;3129565862;4111887238
