"Secondary Drop-out rates by Geolocation, Sex and Year"

"Geolocation";"Both Sexes 2006";"Both Sexes 2007";"Both Sexes 2008";"Both Sexes 2009";"Both Sexes 2010";"Both Sexes 2011";"Both Sexes 2012";"Both Sexes 2013";"Both Sexes 2014";"Both Sexes 2015";"Boys 2006";"Boys 2007";"Boys 2008";"Boys 2009";"Boys 2010";"Boys 2011";"Boys 2012";"Boys 2013";"Boys 2014";"Boys 2015";"Girls 2006";"Girls 2007";"Girls 2008";"Girls 2009";"Girls 2010";"Girls 2011";"Girls 2012";"Girls 2013";"Girls 2014";"Girls 2015"
"Philippines";8.5;7.5;7.4;8.0;7.8;7.8;8.1;7.6;6.9;6.6;10.4;9.3;9.1;9.7;9.5;10.0;10.0;9.4;8.3;8.3;6.7;5.6;5.8;6.2;5.7;5.6;6.2;5.8;5.5;4.9
"NCR";7.4;6.1;5.6;6.9;6.7;5.8;6.9;7.2;6.7;5.1;8.8;8.6;7.3;8.7;8.8;7.6;8.8;8.7;8.2;6.5;6.8;3.5;3.8;5.0;4.6;3.9;4.9;5.8;5.1;3.6
"CAR";4.2;7.8;5.1;7.9;8.1;6.4;6.9;7.8;6.3;6.2;5.8;10.4;7.6;11.4;10.6;10.0;9.7;10.3;8.8;9.2;2.6;5.3;2.7;4.4;5.6;2.7;4.1;5.3;3.8;3.2
"Region I";4.1;4.8;5.4;5.5;5.9;6.9;6.1;5.3;4.9;6.1;5.2;6.6;6.8;7.1;7.6;8.9;7.8;6.9;6.0;7.7;4.1;3.1;3.9;3.8;4.2;4.9;4.2;3.5;3.7;4.4
"Region II";7.1;6.7;6.1;6.9;6.7;6.3;6.9;5.7;6.2;6.4;8.6;8.3;7.4;8.5;7.9;8.1;8.7;7.0;7.7;8.3;5.7;5.3;4.8;5.3;5.4;4.4;5.2;4.3;4.6;4.4
"Region III";7.3;6.8;6.9;7.0;6.7;7.6;7.6;5.3;6.4;7.0;9.1;8.7;8.3;9.0;8.5;9.7;9.4;6.7;7.8;8.5;5.5;4.9;5.4;4.9;4.7;5.5;5.6;3.8;4.9;5.4
"Region IV-A";5.3;5.5;5.4;6.5;5.9;4.5;5.4;7.0;5.3;4.7;7.3;7.7;7.4;8.8;8.0;6.3;7.2;9.0;6.4;5.9;3.4;3.2;3.2;4.2;3.9;2.7;3.6;5.0;4.2;3.5
"Region IV-B";9.1;8.8;8.2;8.6;9.4;8.9;7.7;7.6;7.1;6.2;11.7;10.2;9.6;10.8;11.5;11.7;9.8;9.5;8.8;8.0;6.7;7.4;6.8;6.3;7.4;6.1;5.6;5.7;5.5;4.3
"Region V";9.2;8.4;8.8;8.5;8.6;9.3;9.2;7.9;7.5;8.3;11.6;9.8;10.7;10.3;11.4;11.9;11.8;10.3;9.6;10.7;6.9;7.0;6.9;6.7;5.8;6.6;6.5;5.5;5.4;5.9
"Region VI";8.9;7.1;7.4;7.1;7.5;7.4;7.7;6.8;5.5;6.8;11.5;8.8;9.3;8.7;9.4;9.6;9.7;8.5;6.9;8.7;6.2;5.3;5.4;5.4;5.5;5.0;5.5;5.0;4.0;4.8
"Region VII";10.4;9.0;8.4;8.5;7.8;8.1;8.3;6.9;7.9;6.1;12.8;11.9;10.2;10.6;9.8;10.9;10.7;9.2;10.1;7.9;8.1;6.0;6.6;6.3;5.8;5.1;5.8;4.5;5.7;4.3
"Region VIII";10.2;9.8;9.6;9.9;9.9;11.0;9.8;8.6;10.1;8.3;11.7;10.9;11.1;11.0;11.6;13.5;11.7;10.6;11.9;10.5;8.8;8.8;8.2;8.8;8.3;8.5;7.8;6.4;8.3;6.0
"Region IX";9.5;10.1;10.5;10.0;10.1;9.8;12.0;11.2;7.9;7.4;10.7;12.1;12.0;10.8;11.9;12.1;14.1;13.4;9.0;9.5;8.3;8.2;9.2;9.2;8.4;7.7;10.1;9.0;6.8;5.3
"Region X";10.7;9.0;9.8;11.2;6.0;11.8;8.8;10.2;6.3;8.0;12.7;10.7;11.7;13.2;7.5;14.4;11.0;11.8;8.0;10.0;8.8;7.4;7.9;9.2;4.5;9.2;6.5;8.6;4.7;6.1
"Region XI";12.1;8.9;8.5;10.3;9.2;9.3;8.7;8.9;6.4;7.2;13.8;10.3;10.6;10.8;11.9;11.7;10.5;10.8;7.3;8.9;10.5;7.5;6.6;9.8;6.6;6.8;6.8;7.1;5.4;5.4
"Region XII";10.4;9.1;10.2;8.1;8.7;9.6;9.3;8.4;4.9;8.2;12.1;10.6;11.9;9.4;10.1;11.7;11.0;10.6;5.4;9.5;8.9;7.6;8.4;6.9;7.4;7.6;7.7;6.3;4.4;6.9
"Caraga";10.0;8.8;8.7;9.8;9.3;10.1;10.4;8.9;7.5;8.3;11.8;9.8;9.8;11.0;10.7;11.8;12.2;10.4;8.4;9.7;8.3;7.9;7.7;8.5;7.9;8.4;8.5;7.3;6.6;7.0
"ARMM";24.8;9.3;10.8;11.4;11.2;12.3;18.3;15.3;19.2;9.6;26.5;10.1;11.9;12.3;12.2;14.5;19.3;17.1;20.3;10.4;23.3;8.7;10.0;10.7;10.5;10.6;17.6;13.9;18.4;8.9
