Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
PHILIPPINES,2000,,96.77,97.28,96.27,66.06,69.49,62.72,,,,,,,,,,,,62.72,65.53,60.05,70.07,72.29,67.66,,,,,,,,,,,,,-136845782.0,,,100.0,5.7,579938180.0,3697556205.0,76723051.0,,,,,,,
NCR: National Capital Region,2000,,101.0,101.92,100.13,79.05,79.5,78.57,,,,,,,,,,,,63.87,66.58,61.35,68.16,72.18,63.88,,,,,,,,,,,,,2177317.0,,,45.9,8.3,203930819.0,1237450701.0,9961971.0,,,,,,,
CAR: Cordillera Administrative Region,2000,,94.42,94.58,94.26,71.19,76.37,66.14,,,,,,,,,,,,61.95,65.93,58.28,70.31,73.34,67.08,,,,,,,,,,,,,-6416286.0,,,2.7,2.3,13865180.0,90446009.0,1369249.0,,,,,,,
Region 1: Ilocos Region,2000,,97.73,97.01,98.41,87.51,90.05,85.07,,,,,,,,,,,,78.73,81.44,76.23,73.38,76.87,69.82,,,,,,,,,,,,,-1891391.0,,,4.0,1.3,24454284.0,128944988.0,4209083.0,,,,,,,
Region 2: Cagayan Valley,2000,,95.65,95.74,95.57,77.11,81.11,73.31,,,,,,,,,,,,70.75,74.95,66.9,72.2,73.78,70.48,,,,,,,,,,,,,5458610.0,,,2.4,4.2,32773347.0,85937981.0,2819641.0,,,,,,,
Region 3: Central Luzon,2000,,98.32,97.85,98.77,74.32,76.58,72.13,,,,,,,,,,,,75.06,78.71,71.75,75.19,79.3,71.01,,,,,,,,,,,,,-52958073.0,,,4.3,2.0,8037710.0,368786804.0,8233671.0,,,,,,,
Region 4A: CALABARZON,2000,,98.5,99.04,97.98,71.03,74.24,67.88,,,,,,,,,,,,68.21,71.98,64.73,74.79,77.75,71.65,,,,,,,,,,,,,-111297796.0,,,4.4,8.2,18214696.0,601691426.0,9367205.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2369275.0,,,2.0,3.0,10234683.0,66182382.0,2305919.0,,,,,,,
Region 5: Bicol Region,2000,,95.56,95.31,95.8,62.05,67.88,56.61,,,,,,,,,,,,64.7,66.91,62.58,68.3,71.02,65.31,,,,,,,,,,,,,5267903.0,,,3.6,0.3,23129693.0,96854451.0,4698058.0,,,,,,,
Region 6: Western Visayas,2000,,96.16,96.03,96.28,59.47,62.63,56.4,,,,,,,,,,,,65.45,63.94,66.95,67.93,63.34,74.61,,,,,,,,,,,,,12238329.0,,,5.0,7.9,46342201.0,180855163.0,6224949.0,,,,,,,
