Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR
PHILIPPINES,2000,,96.77,97.28,96.27,66.06,69.49,62.72,,,,
NCR: National Capital Region,2000,,101.0,101.92,100.13,79.05,79.5,78.57,,,,
CAR: Cordillera Administrative Region,2000,,94.42,94.58,94.26,71.19,76.37,66.14,,,,
Region 1: Ilocos Region,2000,,97.73,97.01,98.41,87.51,90.05,85.07,,,,
Region 2: Cagayan Valley,2000,,95.65,95.74,95.57,77.11,81.11,73.31,,,,
Region 3: Central Luzon,2000,,98.32,97.85,98.77,74.32,76.58,72.13,,,,
Region 4A: CALABARZON,2000,,98.5,99.04,97.98,71.03,74.24,67.88,,,,
Region 5: Bicol Region,2000,,95.56,95.31,95.8,62.05,67.88,56.61,,,,
Region 6: Western Visayas,2000,,96.16,96.03,96.28,59.47,62.63,56.4,,,,
Region 7: Central Visayas,2000,,98.6,99.99,97.17,67.18,74.84,60.61,,,,
Region 8: Eastern Visayas,2000,,94.58,95.53,93.67,48.21,54.64,42.22,,,,
Region 9: Zamboanga Peninsula,2000,,93.44,93.82,93.06,59.75,62.4,57.11,,,,
Region 10: Northern Mindanao,2000,,95.6,95.19,95.98,57.26,61.74,52.88,,,,
Region 11: Davao Region,2000,,93.89,94.38,93.42,57.05,60.1,54.01,,,,
Region 12: SOCCSKSARGEN,2000,,97.34,98.38,96.33,69.48,72.55,66.41,,,,
CARAGA: CARAGA Administrative Region,2000,,92.92,93.35,92.49,56.65,60.71,52.75,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2000,,91.28,96.5,86.19,23.5,24.59,22.39,,,,
PHILIPPINES,2001,,90.1,90.91,89.33,57.55,62.24,52.96,,,,
NCR: National Capital Region,2001,,97.82,99.13,96.57,67.84,73.86,61.7,,,,
CAR: Cordillera Administrative Region,2001,,92.89,93.88,91.96,59.84,65.8,54.08,,,,
Region 1: Ilocos Region,2001,,91.33,91.23,91.44,68.21,71.73,64.83,,,,
Region 2: Cagayan Valley,2001,,89.45,89.94,88.99,59.67,65.09,54.5,,,,
Region 3: Central Luzon,2001,,86.35,86.5,86.21,66.82,71.02,62.76,,,,
Region 4A: CALABARZON,2001,,93.44,93.93,92.96,66.24,70.46,62.13,,,,
Region 5: Bicol Region,2001,,91.77,92.77,90.83,55.56,59.8,51.54,,,,
Region 6: Western Visayas,2001,,89.6,90.37,88.85,58.38,63.76,53.14,,,,
Region 7: Central Visayas,2001,,88.56,89.13,88.01,55.65,60.3,51.08,,,,
Region 8: Eastern Visayas,2001,,86.98,88.42,85.61,48.48,53.82,43.41,,,,
Region 9: Zamboanga Peninsula,2001,,90.22,90.52,89.93,43.95,47.79,40.13,,,,
Region 10: Northern Mindanao,2001,,93.58,94.27,92.92,51.92,57.42,46.57,,,,
Region 11: Davao Region,2001,,84.7,85.68,83.76,48.9,53.53,44.33,,,,
Region 12: SOCCSKSARGEN,2001,,86.78,87.85,85.74,50.56,55.2,45.97,,,,
CARAGA: CARAGA Administrative Region,2001,,83.12,83.72,82.55,49.61,56.73,42.71,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2001,,83.68,87.46,79.89,20.48,22.05,18.89,,,,
PHILIPPINES,2002,,90.29,91.1,89.51,59.0,63.72,54.39,,,,
NCR: National Capital Region,2002,,97.38,98.28,96.52,75.28,77.94,72.57,,,,
CAR: Cordillera Administrative Region,2002,,91.52,92.57,90.53,59.64,67.49,52.05,,,,
Region 1: Ilocos Region,2002,,89.64,89.37,89.89,68.33,71.88,64.91,,,,
Region 2: Cagayan Valley,2002,,86.71,87.2,86.24,59.54,64.97,54.37,,,,
Region 3: Central Luzon,2002,,93.58,93.88,93.3,67.74,72.04,63.59,,,,
Region 4A: CALABARZON,2002,,95.97,96.54,95.43,68.16,72.05,64.36,,,,
MIMAROPA: Southwestern Tagalog Region,2002,,91.52,91.7,91.34,57.55,63.04,52.24,,,,
Region 5: Bicol Region,2002,,90.95,91.95,90.0,54.86,60.81,49.23,,,,
Region 6: Western Visayas,2002,,85.95,86.7,85.24,57.32,62.88,51.92,,,,
Region 7: Central Visayas,2002,,88.09,88.66,87.54,57.3,62.5,52.2,,,,
Region 8: Eastern Visayas,2002,,85.91,87.35,84.54,48.99,55.41,42.9,,,,
Region 9: Zamboanga Peninsula,2002,,89.74,90.07,89.43,49.24,53.7,44.79,,,,
Region 10: Northern Mindanao,2002,,89.04,89.5,88.59,53.4,58.51,48.38,,,,
Region 11: Davao Region,2002,,84.96,85.99,83.97,52.28,57.07,47.55,,,,
Region 12: SOCCSKSARGEN,2002,,82.01,83.18,80.89,53.38,58.89,47.97,,,,
CARAGA: CARAGA Administrative Region,2002,,80.73,81.31,80.17,49.77,55.64,44.07,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2002,,92.72,97.15,88.29,23.69,27.04,20.3,,,,
PHILIPPINES,2003,,88.74,89.68,87.84,60.15,65.07,55.34,,,,
NCR: National Capital Region,2003,,96.81,97.87,95.81,76.42,78.77,74.02,,,,
CAR: Cordillera Administrative Region,2003,,89.19,90.07,88.36,61.76,68.74,55.02,,,,
Region 1: Ilocos Region,2003,,88.52,88.39,88.65,68.05,71.86,64.39,,,,
Region 2: Cagayan Valley,2003,,85.65,86.13,85.2,61.65,67.36,56.2,,,,
Region 3: Central Luzon,2003,,93.61,93.95,93.29,69.35,73.65,65.18,,,,
Region 4A: CALABARZON,2003,,95.33,95.96,94.73,70.19,74.38,66.08,,,,
MIMAROPA: Southwestern Tagalog Region,2003,,89.42,90.13,88.74,58.43,64.7,52.36,,,,
Region 5: Bicol Region,2003,,89.3,90.37,88.29,55.61,61.76,49.77,,,,
Region 6: Western Visayas,2003,,83.25,83.92,82.6,57.86,63.69,52.19,,,,
Region 7: Central Visayas,2003,,85.57,86.26,84.9,58.38,63.97,52.89,,,,
Region 8: Eastern Visayas,2003,,83.74,85.57,81.99,49.96,56.91,43.36,,,,
Region 9: Zamboanga Peninsula,2003,,84.83,85.66,84.02,49.31,54.6,44.04,,,,
Region 10: Northern Mindanao,2003,,86.92,87.92,85.96,53.8,59.28,48.42,,,,
Region 11: Davao Region,2003,,84.36,85.74,83.03,52.11,57.37,46.92,,,,
Region 12: SOCCSKSARGEN,2003,,81.18,82.61,79.8,53.86,59.45,48.37,,,,
CARAGA: CARAGA Administrative Region,2003,,78.04,78.23,77.85,49.72,55.41,44.21,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2003,,90.13,94.34,85.92,29.37,32.58,26.11,,,,
PHILIPPINES,2004,,87.11,88.08,86.17,59.97,65.01,55.04,,,,
NCR: National Capital Region,2004,,94.82,95.95,93.75,76.4,79.06,73.67,,,,
CAR: Cordillera Administrative Region,2004,,86.4,87.31,85.52,60.71,67.77,53.87,,,,
Region 1: Ilocos Region,2004,,86.98,87.01,86.96,66.96,71.29,62.8,,,,
Region 2: Cagayan Valley,2004,,82.9,83.35,82.47,60.64,66.71,54.86,,,,
Region 3: Central Luzon,2004,,92.03,92.31,91.76,69.81,74.31,65.45,,,,
Region 4A: CALABARZON,2004,,95.1,95.63,94.6,70.94,75.33,66.65,,,,
MIMAROPA: Southwestern Tagalog Region,2004,,88.0,88.94,87.1,57.8,63.63,52.17,,,,
Region 5: Bicol Region,2004,,87.78,88.9,86.71,55.82,62.36,49.62,,,,
Region 6: Western Visayas,2004,,80.49,81.13,79.88,56.96,63.01,51.07,,,,
Region 7: Central Visayas,2004,,83.53,84.2,82.88,57.4,62.86,52.03,,,,
Region 8: Eastern Visayas,2004,,83.44,85.44,81.53,50.64,57.48,44.16,,,,
Region 9: Zamboanga Peninsula,2004,,82.83,83.74,81.94,50.47,55.83,45.13,,,,
Region 10: Northern Mindanao,2004,,84.16,84.95,83.39,52.08,57.62,46.66,,,,
Region 11: Davao Region,2004,,82.54,83.97,81.17,51.16,56.28,46.1,,,,
Region 12: SOCCSKSARGEN,2004,,79.99,81.7,78.34,55.24,61.04,49.55,,,,
CARAGA: CARAGA Administrative Region,2004,,75.08,75.56,74.61,49.66,55.62,43.87,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2004,,90.01,94.19,85.84,28.43,31.1,25.73,,,,
PHILIPPINES,2005,,84.44,85.35,83.56,58.54,63.53,53.65,,,,
NCR: National Capital Region,2005,,92.61,93.63,91.65,74.99,77.28,72.65,,,,
CAR: Cordillera Administrative Region,2005,,82.58,83.46,81.75,57.81,64.89,50.96,,,,
Region 1: Ilocos Region,2005,,84.87,84.95,84.8,65.83,69.64,62.16,,,,
Region 2: Cagayan Valley,2005,,79.92,80.34,79.52,59.02,64.95,53.38,,,,
Region 3: Central Luzon,2005,,90.77,91.17,90.38,68.93,73.22,64.77,,,,
Region 4A: CALABARZON,2005,,92.87,93.55,92.22,69.1,73.53,64.77,,,,
MIMAROPA: Southwestern Tagalog Region,2005,,84.39,85.28,83.55,56.08,61.38,50.96,,,,
Region 5: Bicol Region,2005,,85.43,86.62,84.3,53.24,59.88,46.95,,,,
Region 6: Western Visayas,2005,,77.14,77.77,76.53,54.91,60.99,49.0,,,,
Region 7: Central Visayas,2005,,80.08,80.81,79.37,54.76,60.69,48.94,,,,
Region 8: Eastern Visayas,2005,,80.03,81.93,78.22,50.09,56.74,43.79,,,,
Region 9: Zamboanga Peninsula,2005,,79.14,80.0,78.3,47.17,52.2,42.16,,,,
Region 10: Northern Mindanao,2005,,80.2,81.08,79.36,51.27,56.87,45.78,,,,
Region 11: Davao Region,2005,,79.01,80.35,77.71,49.02,54.48,43.64,,,,
Region 12: SOCCSKSARGEN,2005,,77.43,79.15,75.77,51.33,56.69,46.06,,,,
CARAGA: CARAGA Administrative Region,2005,,74.8,75.12,74.49,48.52,53.91,43.29,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2005,,87.26,89.9,84.63,35.61,39.49,31.69,,,,
PHILIPPINES,2006,,83.22,84.08,82.39,58.59,63.44,53.85,,,,
NCR: National Capital Region,2006,,92.89,93.83,92.0,75.12,77.3,72.89,,,,
CAR: Cordillera Administrative Region,2006,,80.86,81.57,80.19,59.1,65.67,52.74,,,,
Region 1: Ilocos Region,2006,,82.74,82.58,82.89,68.19,72.1,64.43,,,,
Region 2: Cagayan Valley,2006,,77.7,78.03,77.39,58.85,64.42,53.55,,,,
Region 3: Central Luzon,2006,,89.14,89.47,88.82,69.13,72.99,65.4,,,,
Region 4A: CALABARZON,2006,,92.36,92.95,91.8,71.26,75.61,67.0,,,,
MIMAROPA: Southwestern Tagalog Region,2006,,83.84,84.75,82.98,58.86,64.8,53.11,,,,
Region 5: Bicol Region,2006,,83.8,84.84,82.82,54.33,60.77,48.22,,,,
Region 6: Western Visayas,2006,,74.96,75.49,74.45,52.89,58.85,47.08,,,,
Region 7: Central Visayas,2006,,78.87,79.48,78.28,53.86,59.56,48.26,,,,
Region 8: Eastern Visayas,2006,,78.15,79.9,76.48,49.88,56.68,43.43,,,,
Region 9: Zamboanga Peninsula,2006,,77.59,78.42,76.78,47.7,52.67,42.74,,,,
Region 10: Northern Mindanao,2006,,78.96,79.96,78.01,51.23,56.72,45.85,,,,
Region 11: Davao Region,2006,,75.89,77.04,74.79,47.84,52.9,42.84,,,,
Region 12: SOCCSKSARGEN,2006,,76.35,77.82,74.93,48.85,53.96,43.84,,,,
CARAGA: CARAGA Administrative Region,2006,,77.76,77.55,77.96,48.89,54.3,43.64,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2006,,85.82,89.8,81.84,32.56,36.16,28.92,,,,
PHILIPPINES,2007,,84.93,85.83,84.07,60.21,64.87,55.65,,,,
NCR: National Capital Region,2007,,94.42,95.69,93.21,80.16,82.18,78.1,,,,
CAR: Cordillera Administrative Region,2007,,81.5,82.01,81.01,57.04,63.57,50.71,,,,
Region 1: Ilocos Region,2007,,83.14,82.97,83.3,67.62,70.85,64.5,,,,
Region 2: Cagayan Valley,2007,,77.53,77.89,77.19,59.47,64.55,54.63,,,,
Region 3: Central Luzon,2007,,91.37,91.76,91.01,70.78,74.48,67.21,,,,
Region 4A: CALABARZON,2007,,94.02,94.62,93.45,73.86,78.22,69.59,,,,
MIMAROPA: Southwestern Tagalog Region,2007,,84.07,84.9,83.28,59.28,64.67,54.07,,,,
Region 5: Bicol Region,2007,,85.41,86.29,84.57,55.97,62.01,50.24,,,,
Region 6: Western Visayas,2007,,75.44,75.9,75.0,53.83,59.21,48.59,,,,
Region 7: Central Visayas,2007,,80.28,80.91,79.68,54.57,60.63,48.62,,,,
Region 8: Eastern Visayas,2007,,79.19,80.59,77.86,51.49,58.0,45.31,,,,
Region 9: Zamboanga Peninsula,2007,,78.99,79.63,78.37,50.18,55.15,45.22,,,,
Region 10: Northern Mindanao,2007,,80.6,81.58,79.66,51.7,56.91,46.59,,,,
Region 11: Davao Region,2007,,77.38,78.36,76.44,49.12,53.93,44.38,,,,
Region 12: SOCCSKSARGEN,2007,,78.65,79.94,77.4,50.62,55.91,45.43,,,,
CARAGA: CARAGA Administrative Region,2007,,81.46,82.15,80.82,48.64,53.18,44.24,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2007,,94.01,98.6,89.44,34.58,38.59,30.52,,,,
PHILIPPINES,2008,,85.11,85.7,84.55,60.74,65.18,56.39,,,,
NCR: National Capital Region,2008,,93.69,94.72,92.71,80.79,82.15,79.4,,,,
CAR: Cordillera Administrative Region,2008,,81.93,82.19,81.69,57.14,62.71,51.74,,,,
Region 1: Ilocos Region,2008,,82.85,82.54,83.14,68.22,71.32,65.24,,,,
Region 2: Cagayan Valley,2008,,76.23,76.32,76.14,58.34,63.36,53.56,,,,
Region 3: Central Luzon,2008,,90.93,91.01,90.86,71.24,74.63,67.95,,,,
Region 4A: CALABARZON,2008,,94.1,94.56,93.67,74.89,79.14,70.74,,,,
MIMAROPA: Southwestern Tagalog Region,2008,,85.42,85.91,84.96,59.67,64.83,54.69,,,,
Region 5: Bicol Region,2008,,85.07,85.67,84.5,55.24,61.13,49.65,,,,
Region 6: Western Visayas,2008,,74.93,75.05,74.81,53.98,59.08,49.01,,,,
Region 7: Central Visayas,2008,,81.38,81.46,81.29,55.49,60.96,50.13,,,,
Region 8: Eastern Visayas,2008,,80.33,81.24,79.46,53.28,60.06,46.85,,,,
Region 9: Zamboanga Peninsula,2008,,79.25,79.65,78.87,49.28,54.18,44.4,,,,
Region 10: Northern Mindanao,2008,,81.23,81.83,80.65,50.67,55.66,45.78,,,,
Region 11: Davao Region,2008,,78.0,78.61,77.42,48.61,53.39,43.89,,,,
Region 12: SOCCSKSARGEN,2008,,80.12,81.21,79.08,51.8,57.23,46.47,,,,
CARAGA: CARAGA Administrative Region,2008,,76.14,75.54,76.71,51.09,55.24,47.05,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2008,,99.85,104.34,95.37,37.98,42.57,33.24,,,,
PHILIPPINES,2009,,89.48,90.77,88.26,59.89,64.82,55.16,,,,
NCR: National Capital Region,2009,,90.96,92.01,89.98,76.69,79.74,73.69,,,,
CAR: Cordillera Administrative Region,2009,,99.51,100.21,98.84,64.76,71.8,58.0,,,,
Region 1: Ilocos Region,2009,,93.24,94.03,92.51,71.77,75.8,67.95,,,,
Region 2: Cagayan Valley,2009,,95.58,96.8,94.45,66.95,72.81,61.41,,,,
Region 3: Central Luzon,2009,,90.99,91.82,90.21,68.41,72.39,64.64,,,,
Region 4A: CALABARZON,2009,,87.43,88.48,86.44,67.03,71.2,63.01,,,,
