Geolocation,Year,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate
PHILIPPINES,2015,7.406737855113032,5.045087494997125
NCR: National Capital Region,2015,5.88348589799268,4.57026787981758
CAR: Cordillera Administrative Region,2015,6.635383363697023,1.6583278660505352
Region 1: Ilocos Region,2015,7.453735627872171,3.572706524928737
Region 2: Cagayan Valley,2015,8.900391133580342,7.312018294054079
Region 3: Central Luzon,2015,6.519357420226868,5.508813250271971
Region 4A: CALABARZON,2015,6.307003995955918,4.059652826836557
MIMAROPA: Southwestern Tagalog Region,2015,9.53095177809158,9.318982872877823
Region 5: Bicol Region,2015,8.240400919775848,5.213290147821392
Region 6: Western Visayas,2015,9.042916791588684,1.9015355754320675
Region 7: Central Visayas,2015,6.546146706112088,6.114198811093874
Region 8: Eastern Visayas,2015,9.02784582807865,6.861243206150647
Region 9: Zamboanga Peninsula,2015,9.96018839775521,6.322664550259449
Region 10: Northern Mindanao,2015,6.843058607312513,5.981041589722214
Region 11: Davao Region,2015,10.438387513817094,9.47042586651059
Region 12: SOCCSKSARGEN,2015,7.068206509989827,6.130973574266085
CARAGA: CARAGA Administrative Region,2015,5.6034334242448525,5.195769997162314
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,2.8766874106698204,1.5507239344027424
PHILIPPINES,2018,9.26101763366185,6.522713732982965
NCR: National Capital Region,2018,7.0857819830576485,3.844880407956453
CAR: Cordillera Administrative Region,2018,9.647947866217322,10.50268590274419
Region 1: Ilocos Region,2018,11.312069049301332,9.985571854831532
Region 2: Cagayan Valley,2018,4.499523261582428,5.014911273648059
Region 3: Central Luzon,2018,8.215452435312521,5.008588120050272
Region 4A: CALABARZON,2018,9.511903003591703,7.614648279746583
MIMAROPA: Southwestern Tagalog Region,2018,10.132831197978852,5.518178024502451
Region 5: Bicol Region,2018,8.730943429022119,9.110867775072617
Region 6: Western Visayas,2018,8.430301805565277,7.77713253669563
Region 7: Central Visayas,2018,14.0630130453411,10.424737109032268
Region 8: Eastern Visayas,2018,9.328772062969982,6.4311695122207135
Region 9: Zamboanga Peninsula,2018,6.985012062105822,5.659603426742188
Region 10: Northern Mindanao,2018,12.69661390560628,5.642720391588263
Region 11: Davao Region,2018,6.7630974960369405,4.445816235369016
Region 12: SOCCSKSARGEN,2018,12.28818368025475,8.80223757797538
CARAGA: CARAGA Administrative Region,2018,8.021146423066238,6.103810701747436
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,5.923816866112208,6.2167612079545576
