Geolocation,Year,11.b.2 Proportion of LGU with DRR
PHILIPPINES,2000,
NCR: National Capital Region,2000,
CAR: Cordillera Administrative Region,2000,
Region 1: Ilocos Region,2000,
Region 2: Cagayan Valley,2000,
Region 3: Central Luzon,2000,
Region 4A: CALABARZON,2000,
MIMAROPA: Southwestern Tagalog Region,2000,
Region 5: Bicol Region,2000,
Region 6: Western Visayas,2000,
Region 7: Central Visayas,2000,
Region 8: Eastern Visayas,2000,
Region 9: Zamboanga Peninsula,2000,
Region 10: Northern Mindanao,2000,
Region 11: Davao Region,2000,
Region 12: SOCCSKSARGEN,2000,
CARAGA: CARAGA Administrative Region,2000,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2000,
PHILIPPINES,2001,
NCR: National Capital Region,2001,
CAR: Cordillera Administrative Region,2001,
Region 1: Ilocos Region,2001,
Region 2: Cagayan Valley,2001,
Region 3: Central Luzon,2001,
Region 4A: CALABARZON,2001,
MIMAROPA: Southwestern Tagalog Region,2001,
Region 5: Bicol Region,2001,
Region 6: Western Visayas,2001,
Region 7: Central Visayas,2001,
Region 8: Eastern Visayas,2001,
Region 9: Zamboanga Peninsula,2001,
Region 10: Northern Mindanao,2001,
Region 11: Davao Region,2001,
Region 12: SOCCSKSARGEN,2001,
CARAGA: CARAGA Administrative Region,2001,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2001,
PHILIPPINES,2002,
NCR: National Capital Region,2002,
CAR: Cordillera Administrative Region,2002,
Region 1: Ilocos Region,2002,
Region 2: Cagayan Valley,2002,
Region 3: Central Luzon,2002,
Region 4A: CALABARZON,2002,
MIMAROPA: Southwestern Tagalog Region,2002,
Region 5: Bicol Region,2002,
Region 6: Western Visayas,2002,
Region 7: Central Visayas,2002,
Region 8: Eastern Visayas,2002,
Region 9: Zamboanga Peninsula,2002,
Region 10: Northern Mindanao,2002,
Region 11: Davao Region,2002,
Region 12: SOCCSKSARGEN,2002,
CARAGA: CARAGA Administrative Region,2002,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2002,
PHILIPPINES,2003,
NCR: National Capital Region,2003,
CAR: Cordillera Administrative Region,2003,
Region 1: Ilocos Region,2003,
Region 2: Cagayan Valley,2003,
Region 3: Central Luzon,2003,
Region 4A: CALABARZON,2003,
MIMAROPA: Southwestern Tagalog Region,2003,
Region 5: Bicol Region,2003,
Region 6: Western Visayas,2003,
Region 7: Central Visayas,2003,
Region 8: Eastern Visayas,2003,
Region 9: Zamboanga Peninsula,2003,
Region 10: Northern Mindanao,2003,
Region 11: Davao Region,2003,
Region 12: SOCCSKSARGEN,2003,
CARAGA: CARAGA Administrative Region,2003,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2003,
PHILIPPINES,2004,
NCR: National Capital Region,2004,
CAR: Cordillera Administrative Region,2004,
Region 1: Ilocos Region,2004,
Region 2: Cagayan Valley,2004,
Region 3: Central Luzon,2004,
Region 4A: CALABARZON,2004,
MIMAROPA: Southwestern Tagalog Region,2004,
Region 5: Bicol Region,2004,
Region 6: Western Visayas,2004,
Region 7: Central Visayas,2004,
Region 8: Eastern Visayas,2004,
Region 9: Zamboanga Peninsula,2004,
Region 10: Northern Mindanao,2004,
Region 11: Davao Region,2004,
Region 12: SOCCSKSARGEN,2004,
CARAGA: CARAGA Administrative Region,2004,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2004,
PHILIPPINES,2005,
NCR: National Capital Region,2005,
CAR: Cordillera Administrative Region,2005,
Region 1: Ilocos Region,2005,
Region 2: Cagayan Valley,2005,
Region 3: Central Luzon,2005,
Region 4A: CALABARZON,2005,
MIMAROPA: Southwestern Tagalog Region,2005,
Region 5: Bicol Region,2005,
Region 6: Western Visayas,2005,
Region 7: Central Visayas,2005,
Region 8: Eastern Visayas,2005,
Region 9: Zamboanga Peninsula,2005,
Region 10: Northern Mindanao,2005,
Region 11: Davao Region,2005,
Region 12: SOCCSKSARGEN,2005,
CARAGA: CARAGA Administrative Region,2005,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2005,
PHILIPPINES,2006,
NCR: National Capital Region,2006,
CAR: Cordillera Administrative Region,2006,
Region 1: Ilocos Region,2006,
Region 2: Cagayan Valley,2006,
Region 3: Central Luzon,2006,
Region 4A: CALABARZON,2006,
MIMAROPA: Southwestern Tagalog Region,2006,
Region 5: Bicol Region,2006,
Region 6: Western Visayas,2006,
Region 7: Central Visayas,2006,
Region 8: Eastern Visayas,2006,
Region 9: Zamboanga Peninsula,2006,
Region 10: Northern Mindanao,2006,
Region 11: Davao Region,2006,
Region 12: SOCCSKSARGEN,2006,
CARAGA: CARAGA Administrative Region,2006,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2006,
PHILIPPINES,2007,
NCR: National Capital Region,2007,
CAR: Cordillera Administrative Region,2007,
Region 1: Ilocos Region,2007,
Region 2: Cagayan Valley,2007,
Region 3: Central Luzon,2007,
Region 4A: CALABARZON,2007,
MIMAROPA: Southwestern Tagalog Region,2007,
Region 5: Bicol Region,2007,
Region 6: Western Visayas,2007,
