Geolocation,Year,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs
PHILIPPINES,2016,1.4121254399999998,0.647
PHILIPPINES,2019,3.1435591133,1.42
NCR: National Capital Region,2019,0.0001079646999999,4.8931494357895e-05
CAR: Cordillera Administrative Region,2019,0.0,0.0
Region 1: Ilocos Region,2019,0.0120826579,0.0054760723353302
Region 2: Cagayan Valley,2019,0.2808040993,0.1272653395097817
Region 3: Central Luzon,2019,0.3646988666,0.1652879184897341
Region 4A: CALABARZON,2019,0.0006101422999999,0.0002765271844404
MIMAROPA: Southwestern Tagalog Region,2019,0.6357962823999999,0.2881540189064223
Region 5: Bicol Region,2019,0.3967129266,0.1797972515982716
Region 6: Western Visayas,2019,0.0331462146,0.0150224454167471
Region 7: Central Visayas,2019,0.5452987105,0.247138933153134
Region 8: Eastern Visayas,2019,0.1017401606,0.0461104240031253
Region 9: Zamboanga Peninsula,2019,0.2789008849,0.1264027693856999
Region 10: Northern Mindanao,2019,0.0012422059999999,0.0005629895315815
Region 11: Davao Region,2019,0.027728627,0.0125670997613356
Region 12: SOCCSKSARGEN,2019,0.2099779081999999,0.0951656683190977
CARAGA: Cordillera Administrative Region,2019,0.2547114617,0.1154396988188244
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,0.0,0.0
PHILIPPINES,2020,3.1435591133,1.42
NCR: National Capital Region,2020,0.0001079646999999,4.8931494357895e-05
CAR: Cordillera Administrative Region,2020,0.0,0.0
Region 1: Ilocos Region,2020,0.0120826579,0.0054760723353302
Region 2: Cagayan Valley,2020,0.2808040993,0.1272653395097817
Region 3: Central Luzon,2020,0.3646988666,0.1652879184897341
Region 4A: CALABARZON,2020,0.0006101422999999,0.0002765271844404
MIMAROPA: Southwestern Tagalog Region,2020,0.6357962823999999,0.2881540189064223
Region 5: Bicol Region,2020,0.3967129266,0.1797972515982716
Region 6: Western Visayas,2020,0.0331462146,0.0150224454167471
Region 7: Central Visayas,2020,0.5452987105,0.247138933153134
Region 8: Eastern Visayas,2020,0.1017401606,0.0461104240031253
Region 9: Zamboanga Peninsula,2020,0.2789008849,0.1264027693856999
Region 10: Northern Mindanao,2020,0.0012422059999999,0.0005629895315815
Region 11: Davao Region,2020,0.027728627,0.0125670997613356
Region 12: SOCCSKSARGEN,2020,0.2099779081999999,0.0951656683190977
CARAGA: Cordillera Administrative Region,2020,0.2547114617,0.1154396988188244
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,0.0,0.0
