Geolocation,Year,3.4.1 Mortality rate creditted to NCD,3.4.1 Mortality rate creditted to Cardio,3.4.1 Mortality rate creditted to Cancer,3.4.1 Mortality rate creditted to Diabetes,3.4.1 Mortality rate creditted to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000
PHILIPPINES,2003,,,,,,46.7,53.0
NCR: National Capital Region,2003,,,,,,47.2,35.0
CAR: Cordillera Administrative Region,2003,,,,,,44.4,52.0
Region 1: Ilocos Region,2003,,,,,,49.6,55.0
Region 2: Cagayan Valley,2003,,,,,,68.8,85.0
Region 3: Central Luzon,2003,,,,,,54.2,42.0
Region 4A: CALABARZON,2003,,,,,,46.1,44.0
MIMAROPA: Southwestern Tagalog Region,2003,,,,,,48.5,108.0
Region 5: Bicol Region,2003,,,,,,30.6,60.0
Region 6: Western Visayas,2003,,,,,,42.3,57.0
Region 7: Central Visayas,2003,,,,,,47.1,45.0
Region 8: Eastern Visayas,2003,,,,,,35.8,48.0
Region 9: Zamboanga Peninsula,2003,,,,,,46.9,82.0
Region 10: Northern Mindanao,2003,,,,,,45.9,56.0
Region 11: Davao Region,2003,,,,,,53.6,42.0
Region 12: SOCCSKSARGEN,2003,,,,,,51.6,90.0
CARAGA: Cordillera Administrative Region,2003,,,,,,43.7,85.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2003,,,,,,23.1,51.0
PHILIPPINES,2006,4.2,2.4,1.0,0.4,0.3,,
NCR: National Capital Region,2006,5.1,3.1,1.2,0.5,0.3,,
CAR: Cordillera Administrative Region,2006,3.3,1.9,1.0,0.3,0.2,,
Region 1: Ilocos Region,2006,4.9,2.8,1.2,0.4,0.5,,
Region 2: Cagayan Valley,2006,4.0,2.4,0.9,0.2,0.5,,
Region 3: Central Luzon,2006,4.8,2.6,1.2,0.5,0.5,,
Region 4A: CALABARZON,2006,4.7,2.7,1.0,0.6,0.4,,
MIMAROPA: Southwestern Tagalog Region,2006,3.5,1.9,0.8,0.3,0.4,,
Region 5: Bicol Region,2006,,3.0,0.7,0.4,0.4,,
Region 6: Western Visayas,2006,,2.3,1.1,0.4,0.4,,
Region 7: Central Visayas,2006,4.3,2.4,1.2,0.5,0.3,,
Region 8: Eastern Visayas,2006,3.5,2.1,0.7,0.4,0.3,,
Region 9: Zamboanga Peninsula,2006,3.0,1.8,0.7,0.3,0.2,,
Region 10: Northern Mindanao,2006,3.5,1.9,0.9,0.4,0.2,,
Region 11: Davao Region,2006,3.6,2.1,0.9,0.4,0.2,,
Region 12: SOCCSKSARGEN,2006,3.0,1.7,0.7,0.3,0.3,,
CARAGA: Cordillera Administrative Region,2006,3.4,2.1,0.7,0.4,0.3,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2006,0.6,0.4,0.1,0.1,0.0,,
PHILIPPINES,2007,4.2,2.5,1.0,0.4,0.3,,
NCR: National Capital Region,2007,5.2,3.2,1.2,0.5,0.3,,
CAR: Cordillera Administrative Region,2007,3.1,1.8,0.9,0.3,0.2,,
Region 1: Ilocos Region,2007,4.8,2.7,1.2,0.4,0.5,,
Region 2: Cagayan Valley,2007,3.9,2.3,0.9,0.2,0.5,,
Region 3: Central Luzon,2007,5.0,2.9,1.1,0.5,0.4,,
Region 4A: CALABARZON,2007,4.7,2.8,1.0,0.5,0.4,,
MIMAROPA: Southwestern Tagalog Region,2007,3.5,2.0,0.8,0.3,0.4,,
Region 5: Bicol Region,2007,,3.1,0.7,0.4,0.4,,
Region 6: Western Visayas,2007,,2.3,1.1,0.4,0.4,,
Region 7: Central Visayas,2007,4.2,2.3,1.2,0.5,0.3,,
Region 8: Eastern Visayas,2007,3.5,2.2,0.7,0.3,0.3,,
Region 9: Zamboanga Peninsula,2007,3.0,1.8,0.7,0.3,0.2,,
Region 10: Northern Mindanao,2007,3.4,1.9,0.9,0.4,0.2,,
Region 11: Davao Region,2007,3.8,2.3,0.9,0.5,0.2,,
Region 12: SOCCSKSARGEN,2007,3.1,1.7,0.7,0.4,0.2,,
CARAGA: Cordillera Administrative Region,2007,3.4,2.0,0.8,0.4,0.3,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2007,0.6,0.4,0.1,0.1,0.0,,
PHILIPPINES,2008,4.3,2.5,1.0,0.5,0.3,46.8,54.0
NCR: National Capital Region,2008,5.2,3.2,1.2,0.5,0.3,43.2,25.0
CAR: Cordillera Administrative Region,2008,3.3,1.9,0.9,0.3,0.2,55.0,34.0
Region 1: Ilocos Region,2008,5.0,2.8,1.2,0.5,0.5,49.7,52.0
Region 2: Cagayan Valley,2008,4.0,2.4,0.9,0.2,0.5,62.6,54.0
Region 3: Central Luzon,2008,5.0,2.9,1.2,0.6,0.4,54.0,69.0
Region 4A: CALABARZON,2008,4.6,2.7,1.0,0.5,0.3,46.1,63.0
MIMAROPA: Southwestern Tagalog Region,2008,3.5,2.0,0.8,0.3,0.4,48.5,87.0
Region 5: Bicol Region,2008,,3.0,0.8,0.4,0.3,33.8,63.0
Region 6: Western Visayas,2008,,2.4,1.1,0.4,0.5,44.4,41.0
Region 7: Central Visayas,2008,4.4,2.4,1.2,0.5,0.3,46.0,58.0
Region 8: Eastern Visayas,2008,3.5,2.1,0.7,0.4,0.3,37.5,60.0
Region 9: Zamboanga Peninsula,2008,3.2,2.0,0.7,0.3,0.2,40.3,62.0
Region 10: Northern Mindanao,2008,3.6,2.0,0.9,0.4,0.2,54.2,43.0
Region 11: Davao Region,2008,4.0,2.4,0.9,0.5,0.2,59.5,68.0
Region 12: SOCCSKSARGEN,2008,3.2,1.9,0.7,0.4,0.2,53.8,64.0
CARAGA: Cordillera Administrative Region,2008,3.5,2.1,0.7,0.5,0.3,47.6,83.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2008,0.5,0.4,0.1,0.0,0.0,21.2,71.0
PHILIPPINES,2009,4.4,2.6,1.0,0.4,0.3,,
NCR: National Capital Region,2009,5.2,3.2,1.2,0.5,0.3,,
CAR: Cordillera Administrative Region,2009,3.3,2.0,0.9,0.3,0.2,,
Region 1: Ilocos Region,2009,5.0,2.9,1.2,0.5,0.5,,
Region 2: Cagayan Valley,2009,4.1,2.4,1.0,0.2,0.5,,
Region 3: Central Luzon,2009,5.2,3.1,1.2,0.6,0.4,,
Region 4A: CALABARZON,2009,4.8,2.9,1.0,0.5,0.3,,
MIMAROPA: Southwestern Tagalog Region,2009,3.6,2.2,0.8,0.3,0.4,,
Region 5: Bicol Region,2009,,3.2,0.8,0.4,0.4,,
Region 6: Western Visayas,2009,,2.5,1.1,0.4,0.4,,
Region 7: Central Visayas,2009,4.5,2.6,1.2,0.4,0.3,,
Region 8: Eastern Visayas,2009,3.6,2.2,0.7,0.4,0.3,,
Region 9: Zamboanga Peninsula,2009,3.4,2.1,0.7,0.3,0.2,,
Region 10: Northern Mindanao,2009,3.8,2.3,0.9,0.4,0.3,,
Region 11: Davao Region,2009,4.2,2.5,1.0,0.5,0.2,,
Region 12: SOCCSKSARGEN,2009,3.3,1.9,0.7,0.4,0.2,,
CARAGA: Cordillera Administrative Region,2009,3.7,2.2,0.8,0.4,0.3,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,0.3,0.2,0.0,0.0,0.0,,
PHILIPPINES,2010,4.4,2.7,1.0,0.4,0.3,,
NCR: National Capital Region,2010,5.2,3.3,1.1,0.5,0.3,,
CAR: Cordillera Administrative Region,2010,3.2,1.9,0.9,0.2,0.2,,
Region 1: Ilocos Region,2010,5.1,2.9,1.2,0.5,0.5,,
Region 2: Cagayan Valley,2010,4.3,2.7,1.0,0.2,0.4,,
Region 3: Central Luzon,2010,5.2,3.1,1.2,0.5,0.4,,
Region 4A: CALABARZON,2010,4.8,3.0,1.0,0.5,0.3,,
MIMAROPA: Southwestern Tagalog Region,2010,3.6,2.1,0.8,0.3,0.4,,
Region 5: Bicol Region,2010,,3.3,0.8,0.4,0.4,,
Region 6: Western Visayas,2010,,2.5,1.1,0.4,0.4,,
Region 7: Central Visayas,2010,4.6,2.7,1.2,0.4,0.3,,
Region 8: Eastern Visayas,2010,3.5,2.1,0.7,0.4,0.3,,
Region 9: Zamboanga Peninsula,2010,3.4,2.1,0.8,0.3,0.2,,
Region 10: Northern Mindanao,2010,3.8,2.3,0.9,0.4,0.3,,
Region 11: Davao Region,2010,4.4,2.6,1.0,0.5,0.2,,
Region 12: SOCCSKSARGEN,2010,3.1,1.9,0.7,0.3,0.2,,
CARAGA: Cordillera Administrative Region,2010,3.7,2.2,0.8,0.4,0.2,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,0.2,0.1,0.0,0.0,0.0,,
PHILIPPINES,2011,4.4,2.7,1.0,0.4,0.3,,
NCR: National Capital Region,2011,5.2,3.3,1.2,0.4,0.3,,
CAR: Cordillera Administrative Region,2011,3.4,2.0,1.0,0.2,0.2,,
Region 1: Ilocos Region,2011,5.1,3.0,1.2,0.4,0.4,,
Region 2: Cagayan Valley,2011,4.2,2.6,1.0,0.2,0.4,,
Region 3: Central Luzon,2011,5.2,3.2,1.1,0.5,0.4,,
Region 4A: CALABARZON,2011,4.8,3.0,1.1,0.5,0.3,,
MIMAROPA: Southwestern Tagalog Region,2011,3.7,2.2,0.8,0.3,0.4,,
Region 5: Bicol Region,2011,,3.3,0.9,0.4,0.4,,
Region 6: Western Visayas,2011,,2.5,1.1,0.4,0.4,,
