Geolocation,Year,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.3.s1 Net Elem Enrolment Rate,4.3.s1 Net Elem Enrolment Rate (Girls),4.3.s1 Net Elem Enrolment Rate (Boys),4.3.s2 Net JHS Enrolment Rate,4.3.s2 Net JHS Enrolment Rate (Girls),4.3.s2 Net JHS Enrolment Rate (Boys),4.3.s2 Net SHS Enrolment Rate,4.3.s2 Net SHS Enrolment Rate (Girls),4.3.s2 Net SHS Enrolment Rate (Boys),4.c TVET trainers trained
PHILIPPINES,2000,62.72,65.53,60.05,70.07,72.29,67.66,,,,96.77,97.28,96.27,66.06,69.49,62.72,,,,
NCR: National Capital Region,2000,63.87,66.58,61.35,68.16,72.18,63.88,,,,101.0,101.92,100.13,79.05,79.5,78.57,,,,
CAR: Cordillera Administrative Region,2000,61.95,65.93,58.28,70.31,73.34,67.08,,,,94.42,94.58,94.26,71.19,76.37,66.14,,,,
Region 1: Ilocos Region,2000,78.73,81.44,76.23,73.38,76.87,69.82,,,,97.73,97.01,98.41,87.51,90.05,85.07,,,,
Region 2: Cagayan Valley,2000,70.75,74.95,66.9,72.2,73.78,70.48,,,,95.65,95.74,95.57,77.11,81.11,73.31,,,,
Region 3: Central Luzon,2000,75.06,78.71,71.75,75.19,79.3,71.01,,,,98.32,97.85,98.77,74.32,76.58,72.13,,,,
Region 4A: CALABARZON,2000,68.21,71.98,64.73,74.79,77.75,71.65,,,,98.5,99.04,97.98,71.03,74.24,67.88,,,,
Region 5: Bicol Region,2000,64.7,66.91,62.58,68.3,71.02,65.31,,,,95.56,95.31,95.8,62.05,67.88,56.61,,,,
Region 6: Western Visayas,2000,65.45,63.94,66.95,67.93,63.34,74.61,,,,96.16,96.03,96.28,59.47,62.63,56.4,,,,
Region 7: Central Visayas,2000,68.96,73.5,64.61,71.54,73.15,69.56,,,,98.6,99.99,97.17,67.18,74.84,60.61,,,,
Region 8: Eastern Visayas,2000,56.84,62.39,51.73,64.25,66.44,61.72,,,,94.58,95.53,93.67,48.21,54.64,42.22,,,,
Region 9: Zamboanga Peninsula,2000,51.01,56.86,45.74,62.65,64.32,60.78,,,,93.44,93.82,93.06,59.75,62.4,57.11,,,,
Region 10: Northern Mindanao,2000,61.11,66.08,56.62,68.1,72.22,63.88,,,,95.6,95.19,95.98,57.26,61.74,52.88,,,,
Region 11: Davao Region,2000,60.19,65.15,55.69,73.33,76.54,69.77,,,,93.89,94.38,93.42,57.05,60.1,54.01,,,,
Region 12: SOCCSKSARGEN,2000,46.77,43.23,49.73,63.19,65.8,60.4,,,,97.34,98.38,96.33,69.48,72.55,66.41,,,,
CARAGA: Cordillera Administrative Region,2000,56.66,61.06,52.53,60.57,63.28,57.68,,,,92.92,93.35,92.49,56.65,60.71,52.75,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2000,24.3,24.35,24.26,58.35,58.65,57.98,,,,91.28,96.5,86.19,23.5,24.59,22.39,,,,
PHILIPPINES,2001,68.18,70.7,65.78,69.97,72.94,66.72,,,,90.1,90.91,89.33,57.55,62.24,52.96,,,,
NCR: National Capital Region,2001,74.29,75.66,73.0,68.43,71.91,64.57,,,,97.82,99.13,96.57,67.84,73.86,61.7,,,,
CAR: Cordillera Administrative Region,2001,59.55,63.85,55.6,61.75,64.15,59.07,,,,92.89,93.88,91.96,59.84,65.8,54.08,,,,
Region 1: Ilocos Region,2001,79.7,82.37,77.27,75.35,79.1,71.58,,,,91.33,91.23,91.44,68.21,71.73,64.83,,,,
Region 2: Cagayan Valley,2001,74.07,78.37,70.13,69.4,71.88,66.8,,,,89.45,89.94,88.99,59.67,65.09,54.5,,,,
Region 3: Central Luzon,2001,74.63,78.39,71.29,70.72,74.61,66.74,,,,86.35,86.5,86.21,66.82,71.02,62.76,,,,
Region 4A: CALABARZON,2001,80.87,83.74,78.18,76.79,79.64,73.69,,,,93.44,93.93,92.96,66.24,70.46,62.13,,,,
Region 5: Bicol Region,2001,70.17,74.13,66.51,67.92,72.05,63.5,,,,91.77,92.77,90.83,55.56,59.8,51.54,,,,
Region 6: Western Visayas,2001,63.88,62.46,65.29,71.47,72.48,70.03,,,,89.6,90.37,88.85,58.38,63.76,53.14,,,,
Region 7: Central Visayas,2001,71.52,74.61,68.45,68.64,73.28,63.3,,,,88.56,89.13,88.01,55.65,60.3,51.08,,,,
Region 8: Eastern Visayas,2001,63.64,67.98,59.57,64.9,67.38,62.05,,,,86.98,88.42,85.61,48.48,53.82,43.41,,,,
