,Geolocation,Year,7.1.1 Proportion of population with access to electricity
0,PHILIPPINES,2009,99.39
1,NCR: National Capital Region,2009,100.0
2,CAR: Cordillera Administrative Region,2009,100.0
3,Region 1: Ilocos Region,2009,100.0
4,Region 2: Cagayan Valley,2009,99.96
5,Region 3: Central Luzon,2009,99.94
6,Region 4A: CALABARZON,2009,98.63
7,MIMAROPA: Southwestern Tagalog Region,2009,99.31
8,Region 5: Bicol Region,2009,99.94
9,Region 6: Western Visayas,2009,99.93
10,Region 7: Central Visayas,2009,100.0
11,Region 8: Eastern Visayas,2009,98.84
12,Region 9: Zamboanga Peninsula,2009,99.84
13,Region 10: Northern Mindanao,2009,96.44
14,Region 11: Davao Region,2009,100.0
15,Region 12: SOCCSKSARGEN,2009,99.75
16,CARAGA: Cordillera Administrative Region,2009,99.85
17,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,97.8
18,PHILIPPINES,2010,99.89
19,NCR: National Capital Region,2010,100.0
20,CAR: Cordillera Administrative Region,2010,100.0
21,Region 1: Ilocos Region,2010,100.0
22,Region 2: Cagayan Valley,2010,100.0
23,Region 3: Central Luzon,2010,100.0
24,Region 4A: CALABARZON,2010,99.33
25,MIMAROPA: Southwestern Tagalog Region,2010,100.0
26,Region 5: Bicol Region,2010,100.0
27,Region 6: Western Visayas,2010,100.0
28,Region 7: Central Visayas,2010,100.0
29,Region 8: Eastern Visayas,2010,100.0
30,Region 9: Zamboanga Peninsula,2010,100.0
31,Region 10: Northern Mindanao,2010,100.0
32,Region 11: Davao Region,2010,100.0
33,Region 12: SOCCSKSARGEN,2010,100.0
34,CARAGA: Cordillera Administrative Region,2010,100.0
35,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,99.27
36,PHILIPPINES,2011,70.18081236272779
37,NCR: National Capital Region,2011,80.70232002328778
38,CAR: Cordillera Administrative Region,2011,70.583333565578
39,Region 1: Ilocos Region,2011,80.92520888526595
40,Region 2: Cagayan Valley,2011,73.17328414559714
41,Region 3: Central Luzon,2011,82.1343553118068
42,Region 4A: CALABARZON,2011,81.5785989437003
43,MIMAROPA: Southwestern Tagalog Region,2011,59.983526072844114
44,Region 5: Bicol Region,2011,67.44114552552281
45,Region 6: Western Visayas,2011,64.41042711167411
46,Region 7: Central Visayas,2011,69.71545815712582
47,Region 8: Eastern Visayas,2011,66.3564825529945
48,Region 9: Zamboanga Peninsula,2011,48.78483819929952
49,Region 10: Northern Mindanao,2011,66.19156915932352
50,Region 11: Davao Region,2011,54.57616755308824
51,Region 12: SOCCSKSARGEN,2011,43.287409805834606
52,CARAGA: Cordillera Administrative Region,2011,76.98009870791573
53,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,26.56109339407745
54,PHILIPPINES,2012,76.6945712437693
55,NCR: National Capital Region,2012,99.252310111609
56,CAR: Cordillera Administrative Region,2012,74.58540324802692
57,Region 1: Ilocos Region,2012,82.70334994848375
58,Region 2: Cagayan Valley,2012,74.48580844677399
59,Region 3: Central Luzon,2012,89.69698962886525
60,Region 4A: CALABARZON,2012,94.35743601036552
61,MIMAROPA: Southwestern Tagalog Region,2012,62.52852047495061
62,Region 5: Bicol Region,2012,68.69581153431628
63,Region 6: Western Visayas,2012,68.5783928030332
64,Region 7: Central Visayas,2012,71.68102051914411
65,Region 8: Eastern Visayas,2012,69.19329851448832
66,Region 9: Zamboanga Peninsula,2012,50.77889078333517
67,Region 10: Northern Mindanao,2012,67.29184548908606
68,Region 11: Davao Region,2012,54.84543843563957
69,Region 12: SOCCSKSARGEN,2012,43.49284981552763
70,CARAGA: Cordillera Administrative Region,2012,81.41206497589926
71,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,27.797789117536976
72,PHILIPPINES,2013,79.85346601580922
73,NCR: National Capital Region,2013,97.73778718196766
74,CAR: Cordillera Administrative Region,2013,78.06151842632018
75,Region 1: Ilocos Region,2013,83.91745294919018
76,Region 2: Cagayan Valley,2013,81.12292731168617
77,Region 3: Central Luzon,2013,93.17833334099927
78,Region 4A: CALABARZON,2013,93.74427551418906
79,MIMAROPA: Southwestern Tagalog Region,2013,67.23157736473154
80,Region 5: Bicol Region,2013,73.89640172620764
81,Region 6: Western Visayas,2013,72.96941741747779
82,Region 7: Central Visayas,2013,80.0535425930947
83,Region 8: Eastern Visayas,2013,71.45574311877738
84,Region 9: Zamboanga Peninsula,2013,51.49723575931385
85,Region 10: Northern Mindanao,2013,62.42598500126233
86,Region 11: Davao Region,2013,74.78317271363537
87,Region 12: SOCCSKSARGEN,2013,45.97060052679032
88,CARAGA: Cordillera Administrative Region,2013,87.86464499142903
89,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,33.21606181122249
90,PHILIPPINES,2014,80.9
91,NCR: National Capital Region,2014,98.02709941895267
92,CAR: Cordillera Administrative Region,2014,83.48266694743491
93,Region 1: Ilocos Region,2014,86.43630961989454
94,Region 2: Cagayan Valley,2014,83.53402732595966
95,Region 3: Central Luzon,2014,92.29901297110476
96,Region 4A: CALABARZON,2014,92.03384195232992
97,MIMAROPA: Southwestern Tagalog Region,2014,69.35554095697299
98,Region 5: Bicol Region,2014,72.96247921806456
99,Region 6: Western Visayas,2014,76.60615343592161
100,Region 7: Central Visayas,2014,85.88038530829715
101,Region 8: Eastern Visayas,2014,75.0300659642322
102,Region 9: Zamboanga Peninsula,2014,55.045772780033296
103,Region 10: Northern Mindanao,2014,67.13743995110931
104,Region 11: Davao Region,2014,70.16317548649826
105,Region 12: SOCCSKSARGEN,2014,51.87870686999992
106,CARAGA: Cordillera Administrative Region,2014,79.33990145943837
107,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,32.146754415070774
108,PHILIPPINES,2015,89.62
109,NCR: National Capital Region,2015,98.0236435177892
110,CAR: Cordillera Administrative Region,2015,87.49111511717744
111,Region 1: Ilocos Region,2015,93.6639317910117
