Geolocation,Year,8.1.1 Growth rate of real GDP per capita
PHILIPPINES,2001,1.0079144176033026
NCR: National Capital Region,2001,0.8411278169115946
CAR: Cordillera Administrative Region,2001,1.9008376014278523
Region 1: Ilocos Region,2001,0.8115887464970655
Region 2: Cagayan Valley,2001,2.1479534913057847
Region 3: Central Luzon,2001,3.6001917056948542
Region 4A: CALABARZON,2001,-1.68399788512221
MIMAROPA: Southwestern Tagalog Region,2001,1.6640222746159736
Region 5: Bicol Region,2001,1.5879193697141003
Region 6: Western Visayas,2001,0.8821413146258266
Region 7: Central Visayas,2001,2.4306002644343323
Region 8: Eastern Visayas,2001,1.2407994528353044
Region 9: Zamboanga Peninsula,2001,-0.2771733087915464
Region 10: Northern Mindanao,2001,4.426710979482039
Region 11: Davao Region,2001,0.4045186861624756
Region 12: SOCCSKSARGEN,2001,-1.5454018863797216
CARAGA: CARAGA Administrative Region,2001,3.153920360133398
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2001,-4.940170715737835
PHILIPPINES,2002,1.691457854710876
NCR: National Capital Region,2002,-0.916195185914262
CAR: Cordillera Administrative Region,2002,2.6040397858516684
Region 1: Ilocos Region,2002,1.7048835749692302
Region 2: Cagayan Valley,2002,0.0892515310368935
Region 3: Central Luzon,2002,3.3510124842543405
Region 4A: CALABARZON,2002,1.5242211267325132
MIMAROPA: Southwestern Tagalog Region,2002,12.48029067157539
Region 5: Bicol Region,2002,2.378082082721761
Region 6: Western Visayas,2002,1.2637774514564484
Region 7: Central Visayas,2002,0.0917591521850624
Region 8: Eastern Visayas,2002,1.703501265441318
Region 9: Zamboanga Peninsula,2002,0.6556381100849791
Region 10: Northern Mindanao,2002,7.661506825756675
Region 11: Davao Region,2002,3.313226345051305
Region 12: SOCCSKSARGEN,2002,7.457846651260553
CARAGA: CARAGA Administrative Region,2002,4.190756101803103
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2002,10.950593387532765
PHILIPPINES,2003,3.06452599927394
NCR: National Capital Region,2003,2.756815147792864
CAR: Cordillera Administrative Region,2003,3.2685344903706124
Region 1: Ilocos Region,2003,3.183009525362081
Region 2: Cagayan Valley,2003,1.1328124863788815
Region 3: Central Luzon,2003,2.107589457658591
Region 4A: CALABARZON,2003,1.9483372440010955
MIMAROPA: Southwestern Tagalog Region,2003,7.750967760265809
Region 5: Bicol Region,2003,3.9513424757537914
Region 6: Western Visayas,2003,4.390161714513113
Region 7: Central Visayas,2003,2.471710576614868
