Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
PHILIPPINES,2000,-136845782.0,,,100.0,5.7,579938180.0,3697556205.0,76723051.0,,,,,,,
NCR: National Capital Region,2000,2177317.0,,,45.9,8.3,203930819.0,1237450701.0,9961971.0,,,,,,,
CAR: Cordillera Administrative Region,2000,-6416286.0,,,2.7,2.3,13865180.0,90446009.0,1369249.0,,,,,,,
Region 1: Ilocos Region,2000,-1891391.0,,,4.0,1.3,24454284.0,128944988.0,4209083.0,,,,,,,
Region 2: Cagayan Valley,2000,5458610.0,,,2.4,4.2,32773347.0,85937981.0,2819641.0,,,,,,,
Region 3: Central Luzon,2000,-52958073.0,,,4.3,2.0,8037710.0,368786804.0,8233671.0,,,,,,,
Region 4A: CALABARZON,2000,-111297796.0,,,4.4,8.2,18214696.0,601691426.0,9367205.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2000,2369275.0,,,2.0,3.0,10234683.0,66182382.0,2305919.0,,,,,,,
Region 5: Bicol Region,2000,5267903.0,,,3.6,0.3,23129693.0,96854451.0,4698058.0,,,,,,,
Region 6: Western Visayas,2000,12238329.0,,,5.0,7.9,46342201.0,180855163.0,6224949.0,,,,,,,
Region 7: Central Visayas,2000,14163801.0,,,2.7,6.8,65471807.0,201368028.0,5723559.0,,,,,,,
Region 8: Eastern Visayas,2000,-10840620.0,,,4.6,-0.8,21092440.0,103764213.0,3618043.0,,,,,,,
Region 9: Zamboanga Peninsula,2000,2648445.0,,,3.8,0.5,20574017.0,71512156.0,2840160.0,,,,,,,
Region 10: Northern Mindanao,2000,1986329.0,,,2.4,7.7,23598010.0,122602899.0,3517631.0,,,,,,,
Region 11: Davao Region,2000,17223629.0,,,3.8,1.1,47552342.0,152937206.0,3688138.0,,,,,,,
Region 12: SOCCSKSARGEN,2000,-8120781.0,,,4.2,1.6,8175791.0,90192440.0,2980515.0,,,,,,,
CARAGA: Cordillera Administrative Region,2000,-12147353.0,,,2.3,6.6,3517216.0,52357709.0,2100540.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2000,3292879.0,,,1.8,7.1,8973944.0,45671649.0,3064720.0,,,,,,,
PHILIPPINES,2001,24650494.0,,,100.0,3.4,762429457.0,4024398940.0,78273584.0,,,,,,,
NCR: National Capital Region,2001,32407610.0,,,47.0,-1.7,288023206.0,1349240704.0,10153254.0,,,,,,,
CAR: Cordillera Administrative Region,2001,-3465763.0,,,2.7,4.5,13448285.0,95301368.0,1397362.0,,,,,,,
Region 1: Ilocos Region,2001,-415859.0,,,3.8,6.6,26821755.0,137048662.0,4265007.0,,,,,,,
Region 2: Cagayan Valley,2001,6710711.0,,,2.4,11.5,34873457.0,93104321.0,2860861.0,,,,,,,
Region 3: Central Luzon,2001,-26135881.0,,,4.1,21.1,35506256.0,406500228.0,8420004.0,,,,,,,
Region 4A: CALABARZON,2001,-28830457.0,,,4.5,15.0,76941117.0,671228264.0,9687547.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2001,2492120.0,,,2.0,7.8,11200127.0,71908260.0,2352183.0,,,,,,,
Region 5: Bicol Region,2001,6003300.0,,,3.5,3.1,23889005.0,105014935.0,4772451.0,,,,,,,
Region 6: Western Visayas,2001,12193914.0,,,5.1,4.2,44831024.0,190527313.0,6317904.0,,,,,,,
Region 7: Central Visayas,2001,23634467.0,,,2.8,11.0,74574164.0,221348981.0,5830498.0,,,,,,,
Region 8: Eastern Visayas,2001,-832765.0,,,4.3,7.9,25191530.0,111662287.0,3658304.0,,,,,,,
Region 9: Zamboanga Peninsula,2001,4412723.0,,,3.6,4.0,20350909.0,76332913.0,2906575.0,,,,,,,
Region 10: Northern Mindanao,2001,2205454.0,,,2.4,9.9,24298457.0,136862102.0,3599472.0,,,,,,,
Region 11: Davao Region,2001,12619403.0,,,3.6,4.8,44208881.0,162157754.0,3766504.0,,,,,,,
Region 12: SOCCSKSARGEN,2001,-7847249.0,,,4.0,1.4,6512848.0,95184436.0,3054507.0,,,,,,,
CARAGA: Cordillera Administrative Region,2001,-8993970.0,,,2.3,5.3,7578191.0,56225051.0,2134809.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2001,-1507265.0,,,1.8,5.1,4180245.0,44751362.0,3096339.0,,,,,,,
PHILIPPINES,2002,91133746.0,,,100.0,4.9,890086990.0,4350559772.0,79832103.0,,,,,,,
NCR: National Capital Region,2002,47446140.0,,,44.8,4.7,312792420.0,1435447457.0,10344788.0,,,,,,,
CAR: Cordillera Administrative Region,2002,-854248.0,,,2.7,0.9,16806013.0,104838201.0,1424800.0,,,,,,,
Region 1: Ilocos Region,2002,-2366347.0,,,3.9,6.8,29627138.0,147243617.0,4320673.0,,,,,,,
Region 2: Cagayan Valley,2002,7073336.0,,,2.6,7.5,37349804.0,96648982.0,2902169.0,,,,,,,
